t,M2T2,M2C1,MT1T2,MT1T2M2proMT1,MT1C1,M2,MT1,M2_p,T2,C1_D,C1,MT1_cat,MT1_t,MT1T2M2pro,MT1T2_star,M2T2_star
2.06,8.358850507308302e-11,8.385865492933132e-06,2.3693638283376785e-09,5.364077318560431e-10,3.7294146486730824e-07,1.151979003982056e-07,2.5072471429914644e-06,4.918751983290021e-15,6.145196475338477e-11,8.324548481047934e-08,2.5579475573288327e-06,1.8855625490116613e-08,1.8855625490116613e-08,1.0048310374981492e-12,2.2582518354481787e-11,6.07560052483386e-09
2.07,8.250771643897006e-11,8.385319711446362e-06,2.3694080811741425e-09,5.362957102625099e-10,3.694873368555141e-07,1.1574340357751442e-07,2.5105242940567976e-06,4.966077487736111e-15,6.102218392158502e-11,8.362975438337943e-08,2.5615631972549806e-06,1.9032670253225737e-08,1.9032670253225737e-08,1.0095352627640756e-12,2.2689788397242285e-11,6.077066887943513e-09
2.08,8.113471254184449e-11,8.384774015009585e-06,2.3694872443842177e-09,5.361837125391361e-10,3.6606048538643326e-07,1.1628886345660262e-07,2.513773677846141e-06,5.013623714670621e-15,6.059926515416091e-11,8.401394611601089e-08,2.565151553428725e-06,1.9210170815582246e-08,1.9210170815582246e-08,1.0142377877731082e-12,2.279703604937768e-11,6.078783694127684e-09
2.09,7.946006554368331e-11,8.384228403685388e-06,2.369602321438547e-09,5.360717386804842e-10,3.6266004468350645e-07,1.1683428145042811e-07,2.5169961656574163e-06,5.061390569458679e-15,6.018368251818216e-11,8.439806171043403e-08,2.5687134898619807e-06,1.9388120652357648e-08,1.9388120652357648e-08,1.0189386123693035e-12,2.2904261316576186e-11,6.0807588936877625e-09
2.1,7.747434760646318e-11,8.383682877536357e-06,2.369754315807775e-09,5.359597886811163e-10,3.5928514897017387e-07,1.173796589739489e-07,2.520192628788545e-06,5.109377957465424e-15,5.977591008071841e-11,8.478210286870919e-08,2.572249870566662e-06,1.9566513238723474e-08,1.9566513238723474e-08,1.0236377363967194e-12,2.3011464204526024e-11,6.083000436925135e-09
2.11,7.516813089216112e-11,8.383137436625077e-06,2.369944230962544e-09,5.35847862535595e-10,3.559349324698764e-07,1.1792499744212287e-07,2.5233639385374493e-06,5.157585784055984e-15,5.937642190883939e-11,8.516607129289668e-08,2.575761559554684e-06,1.974534204985123e-08,1.974534204985123e-08,1.0283351596994123e-12,2.311864471891541e-11,6.085516274141188e-09
2.12,7.253198756275374e-11,8.38259208101413e-06,2.370173070373498e-09,5.357359602384825e-10,3.526085294060543e-07,1.1847029826990804e-07,2.526510966202051e-06,5.206013954595496e-15,5.898569206961476e-11,8.554996868505683e-08,2.579249420837961e-06,1.9924600560912447e-08,1.9924600560912447e-08,1.0330308821214402e-12,2.3225802865432572e-11,6.088314355637309e-09
2.13,6.955648978021813e-11,8.382046810766106e-06,2.37044183751128e-09,5.356240817843412e-10,3.493050740021483e-07,1.1901556287226231e-07,2.5296345830802717e-06,5.2546623744490915e-15,5.860419463011424e-11,8.593379674724996e-08,2.582714318428408e-06,2.0104282247078637e-08,2.0104282247078637e-08,1.0377249035068598e-12,2.333293864976572e-11,6.091402631714887e-09
2.14,6.623220970653088e-11,8.381501625943587e-06,2.370751535846535e-09,5.355122271677334e-10,3.460237004815987e-07,1.195607926641437e-07,2.532735660470034e-06,5.303530948981906e-15,5.823240365740748e-11,8.631755718153643e-08,2.586157116337939e-06,2.0284380583521325e-08,2.0284380583521325e-08,1.0424172236997286e-12,2.3440052077603083e-11,6.094789052675308e-09
2.15,6.254971950366907e-11,8.38095652660916e-06,2.3711031688499043e-09,5.354003963832217e-10,3.4276354306784625e-07,1.2010598906051007e-07,2.5358150696692592e-06,5.35261958355907e-15,5.7870793218564197e-11,8.670125168997651e-08,2.589578678578469e-06,2.0464889045412023e-08,2.0464889045412023e-08,1.0471078425441033e-12,2.354714315463287e-11,6.0984815688199594e-09
2.16,5.849959133360924e-11,8.380411512825407e-06,2.3714977399920332e-09,5.352885894253681e-10,3.3952373598433117e-07,1.2065115347631946e-07,2.5388736819758693e-06,5.401928183545719e-15,5.751983738065406e-11,8.708488197463058e-08,2.5929798691619126e-06,2.0645801107922266e-08,2.0645801107922266e-08,1.0517967598840417e-12,2.365421188654331e-11,6.1024881304502305e-09
2.17,5.407239735832858e-11,8.379866584654916e-06,2.371936252743564e-09,5.351768062887351e-10,3.3630341345449433e-07,1.2119628732652978e-07,2.5419123686877862e-06,5.451456654306984e-15,5.718001021074678e-11,8.746844973755892e-08,2.596361552100184e-06,2.082711024622355e-08,2.082711024622355e-08,1.0564839755636004e-12,2.3761258279022616e-11,6.106816687867506e-09
2.18,4.925870973980353e-11,8.37932174216027e-06,2.372419710575141e-09,5.350650469678853e-10,3.3310170970177595e-07,1.21741392026099e-07,2.544932001102932e-06,5.501204901208003e-15,5.6851785775912016e-11,8.785195668082189e-08,2.599724591405199e-06,2.1008809935487422e-08,2.1008809935487422e-08,1.0611694894268372e-12,2.3868282337759012e-11,6.111475191373176e-09
2.19,4.4049100640011356e-11,8.378776985404056e-06,2.3729491169574067e-09,5.349533114573806e-10,3.2991775894961684e-07,1.2228646898998505e-07,2.547933450519229e-06,5.5511728296139024e-15,5.653563814321949e-11,8.823540450647978e-08,2.603069851088871e-06,2.1190893650885375e-08,2.1190893650885375e-08,1.0658533013178088e-12,2.3975284068440716e-11,6.116471591268625e-09
2.2,3.843414222092843e-11,8.378232314448859e-06,2.3735254753610056e-09,5.348415997517838e-10,3.267506954214572e-07,1.228315196331459e-07,2.550917588234598e-06,5.601360344889822e-15,5.6232041379738855e-11,8.861879491659296e-08,2.6063981951631153e-06,2.137335486758895e-08,2.137335486758895e-08,1.070535411080573e-12,2.4082263476755947e-11,6.121813837855244e-09
2.21,3.240440664453207e-11,8.377687729357263e-06,2.3741497892565803e-09,5.347299118456569e-10,3.235996533407379e-07,1.233765453705395e-07,2.5538852855469615e-06,5.651767352400891e-15,5.594146955253984e-11,8.900212961322171e-08,2.609710487639846e-06,2.155618706076965e-08,2.155618706076965e-08,1.0752158185591862e-12,2.4189220568392926e-11,6.127509881434417e-09
2.22,2.59504660727986e-11,8.377143230191851e-06,2.374823062114775e-09,5.346182477335625e-10,3.204637669308991e-07,1.2392154761712381e-07,2.5568374137542412e-06,5.702393757512245e-15,5.566439672869209e-11,8.938541029842642e-08,2.613007592530978e-06,2.173938370559901e-08,2.173938370559901e-08,1.0798945235977063e-12,2.4296155349039874e-11,6.133567672307533e-09
2.23,1.982192146726043e-11,8.37659881209695e-06,2.3754476841577933e-09,5.345066074057077e-10,3.1736956581797363e-07,1.2446642275702905e-07,2.5597474492489124e-06,5.75324017895128e-15,5.538996104620379e-11,8.976858485066867e-08,2.6162630371876156e-06,2.1923036393381862e-08,2.1923036393381862e-08,1.0845715729978475e-12,2.440306778106927e-11,6.139346081091705e-09
2.24,1.9094565628612282e-11,8.376054442184555e-06,2.375363985471408e-09,5.343949908274777e-10,3.1449972359406435e-07,1.2501046853634945e-07,2.562432727290928e-06,5.804311301354377e-15,5.504268991444652e-11,9.015129437320808e-08,2.6192945398018745e-06,2.210779594218176e-08,2.210779594218176e-08,1.0892472812031272e-12,2.450995757996947e-11,6.140504457075303e-09
2.25,1.836875190092944e-11,8.375510155444128e-06,2.3752732683657075e-09,5.342833980243621e-10,3.116588269046253e-07,1.255544322431171e-07,2.565088663225736e-06,5.855601964167283e-15,5.470355913926688e-11,9.053392279467477e-08,2.6222970948107652e-06,2.229295905857783e-08,2.229295905857783e-08,1.0939213145892934e-12,2.4616825059033987e-11,6.141660169241262e-09
2.2600000000000002,1.7645367934010087e-11,8.374965951871416e-06,2.3751751961200756e-09,5.341718289908642e-10,3.0884638228695625e-07,1.2609831386488149e-07,2.5677157560441562e-06,5.907112082449999e-15,5.4372888728180744e-11,9.091647108564609e-08,2.625271194710666e-06,2.247852055117689e-08,2.247852055117689e-08,1.0985936736385758e-12,2.472367022336237e-11,6.142812346653119e-09
2.27,1.6925301377652522e-11,8.374421831462162e-06,2.375069432013895e-09,5.340602837214868e-10,3.0606189627835734e-07,1.2664211338919188e-07,2.5703145047370066e-06,5.958841571262515e-15,5.405099868870401e-11,9.129894021669928e-08,2.628217331997955e-06,2.2664475228585727e-08,2.2664475228585727e-08,1.1032643588332034e-12,2.4830493078054152e-11,6.143960118374405e-09
2.2800000000000002,1.620943988165492e-11,8.373877794212108e-06,2.37495563932655e-09,5.339487622107335e-10,3.0330487541612836e-07,1.271858308035977e-07,2.572885408295107e-06,6.010790345664833e-15,5.3738209028352566e-11,9.16813311584117e-08,2.6311359991690105e-06,2.2850817899411144e-08,2.2850817899411147e-08,1.1079333706554063e-12,2.4937293628208886e-11,6.145102613468657e-09
2.29,1.5498671095815578e-11,8.373333840117001e-06,2.3748334813374228e-09,5.338372644531072e-10,3.0057482623756953e-07,1.277294660956483e-07,2.575428965709275e-06,6.0629583207169425e-15,5.343483975464231e-11,9.206364488136063e-08,2.6340276887202103e-06,2.3037543372259933e-08,2.3037543372259933e-08,1.1126007095874134e-12,2.50440718789261e-11,6.146238960999408e-09
2.3000000000000003,1.4793882669932667e-11,8.372789969172585e-06,2.374702621325898e-09,5.337257904431112e-10,2.978712552799806e-07,1.2827301925289306e-07,2.577945675970331e-06,6.115345411478845e-15,5.314121087508912e-11,9.24458823561234e-08,2.6368928931479322e-06,2.32246464557389e-08,2.32246464557389e-08,1.1172663761114548e-12,2.5150827835305353e-11,6.1473682900301926e-09
2.31,1.4095962253804497e-11,8.372246181374603e-06,2.3745627225713586e-09,5.336143401752485e-10,2.9519366908066174e-07,1.2881649026288134e-07,2.5804360380690924e-06,6.16795153301053e-15,5.2857642397208907e-11,9.282804455327729e-08,2.6397321049485552e-06,2.3412121958454835e-08,2.3412121958454835e-08,1.1219303707097592e-12,2.5257561502446176e-11,6.148489729624544e-09
2.32,1.340579749722927e-11,8.371702476718798e-06,2.3744134483531878e-09,5.335029136440226e-10,2.925415741769129e-07,1.293598791131625e-07,2.5829005509963784e-06,6.2207766003719975e-15,5.2584454328517546e-11,9.321013244339963e-08,2.642545816618457e-06,2.3599964689014535e-08,2.3599964689014535e-08,1.1265926938645565e-12,2.536427288544811e-11,6.149602408845999e-09
2.33,1.2724276050005193e-11,8.371158855200915e-06,2.3742544619507687e-09,5.333915108439363e-10,2.899144771060338e-07,1.2990318579128593e-07,2.5853397137430084e-06,6.273820528623244e-15,5.232196667653093e-11,9.359214699706774e-08,2.645334520654016e-06,2.378816945602481e-08,2.378816945602481e-08,1.1312533460580766e-12,2.547096198941071e-11,6.150705456758089e-09
2.34,1.2052285561930562e-11,8.370615316816699e-06,2.3740854266434857e-09,5.33280131769493e-10,2.8731188440532475e-07,1.3044641028480097e-07,2.5877540252998005e-06,6.327083232824262e-15,5.207049944876496e-11,9.397408918485889e-08,2.6480987095516103e-06,2.3976731068092443e-08,2.3976731068092443e-08,1.1359123277725483e-12,2.5577628819433505e-11,6.15179800242435e-09
2.35,1.1390713682803555e-11,8.370071861561892e-06,2.3739060057107215e-09,5.331687764151958e-10,2.8473330261208543e-07,1.3098955258125704e-07,2.590143984657574e-06,6.380564628035051e-15,5.183037265273551e-11,9.435595997735043e-08,2.6508388758076177e-06,2.4165644333824243e-08,2.4165644333824243e-08,1.1405696394902017e-12,2.568427338061605e-11,6.152879174908317e-09
2.36,1.074044806242247e-11,8.36952848943224e-06,2.3737158624318594e-09,5.330574447755478e-10,2.821782382636161e-07,1.3153261266820345e-07,2.592510090807147e-06,6.434264629315602e-15,5.160190629595849e-11,9.473776034511963e-08,2.653555511918416e-06,2.4354904061826997e-08,2.4354904061826997e-08,1.1452252816932655e-12,2.5790895678057873e-11,6.153948103273522e-09
2.37,1.0102376350585488e-11,8.368985200423487e-06,2.3735146600862833e-09,5.329461368450523e-10,2.7964619789721654e-07,1.3207559053318963e-07,2.5948528427393397e-06,6.4881831517259155e-15,5.1385420385949784e-11,9.511949125874383e-08,2.656249110380385e-06,2.4544505060707513e-08,2.4544505060707513e-08,1.14987925486397e-12,2.589749571685853e-11,6.1550039165835005e-09
2.38,9.477386197090902e-12,8.368441994531375e-06,2.373302061953376e-09,5.328348526182123e-10,2.7713668805018687e-07,1.3261848616376487e-07,2.5971727394449695e-06,6.542320110325983e-15,5.1181234930225286e-11,9.550115368880031e-08,2.6589201636899008e-06,2.473444213907258e-08,2.473444213907258e-08,1.154531559484544e-12,2.6004073502117553e-11,6.156045743901787e-09
2.39,8.866365251736885e-12,8.36789887175165e-06,2.3730777313125217e-09,5.327235920895312e-10,2.746492152598269e-07,1.3316129954747862e-07,2.5994702799148563e-06,6.5966754201758045e-15,5.098966993630087e-11,9.588274860586641e-08,2.661569164343343e-06,2.4924710105529006e-08,2.4924710105529006e-08,1.1591821960372178e-12,2.6110629038934492e-11,6.157072714291915e-09
2.4,8.270201164321744e-12,8.367355832080055e-06,2.3728413314431028e-09,5.32612355253512e-10,2.7218328606343673e-07,1.3370403067188016e-07,2.601745963139818e-06,6.6512489963353715e-15,5.0811045411692456e-11,9.62642769805194e-08,2.6641966048370894e-06,2.5115303768683575e-08,2.5115303768683575e-08,1.16383116500422e-12,2.6217162332408883e-11,6.158083956817421e-09
2.41,7.689781584643657e-12,8.366812875512335e-06,2.3725925256245035e-09,5.325011421046579e-10,2.697384069983163e-07,1.3424667952451896e-07,2.604000288110674e-06,6.706040753864683e-15,5.0645681363915915e-11,9.664573978333664e-08,2.6668029776675176e-06,2.53062179371431e-08,2.53062179371431e-08,1.1684784668677806e-12,2.6323673387640274e-11,6.159078600541836e-09
2.42,7.1259941625009075e-12,8.366270002044234e-06,2.3723309771361068e-09,5.323899526374721e-10,2.673140846017657e-07,1.347892460929443e-07,2.6062337538182432e-06,6.761050607823731e-15,5.0493897800487144e-11,9.702713798489537e-08,2.6693887753310063e-06,2.549744741951436e-08,2.5497447419514362e-08,1.173124102110129e-12,2.6430162209728202e-11,6.160055774528696e-09
2.43,6.5797265476916914e-12,8.365727211671496e-06,2.3720563492572963e-09,5.322787868464578e-10,2.6490982541108463e-07,1.3533173036470564e-07,2.6084468592533443e-06,6.816278473272517e-15,5.035601472892204e-11,9.740847255577297e-08,2.6719544903239336e-06,2.5688987024404176e-08,2.5688987024404176e-08,1.1777680712134946e-12,2.653662880377222e-11,6.161014607841536e-09
2.44,6.051866390014283e-12,8.365184504389864e-06,2.3717683052674554e-09,5.321676447261181e-10,2.6252513596357334e-07,1.3587413232735226e-07,2.6106401034067956e-06,6.87172426527103e-15,5.023235215673648e-11,9.778974446654668e-08,2.6745006151426774e-06,2.5880831560419323e-08,2.5880831560419323e-08,1.182410374660107e-12,2.6643073174871857e-11,6.161954229543889e-09
2.45,5.543301339266886e-12,8.364641880195082e-06,2.371466508445967e-09,5.320565262709561e-10,2.601595227965316e-07,1.3641645196843356e-07,2.6128139852694166e-06,6.927387898879272e-15,5.012323009144637e-11,9.817095468779387e-08,2.6770276422836163e-06,2.607297583616662e-08,2.607297583616662e-08,1.1870510129321955e-12,2.6749495328126662e-11,6.16287376869929e-09
2.46,5.054919045247777e-12,8.364099339082895e-06,2.3711506220722155e-09,5.319454314754753e-10,2.5781249244725964e-07,1.369586892754989e-07,2.6149690038320263e-06,6.983269289157233e-15,5.0028968540567596e-11,9.85521041900918e-08,2.6795360642431276e-06,2.6265414660252842e-08,2.6265414660252842e-08,1.1916899865119898e-12,2.6855895268636178e-11,6.163772354371272e-09
2.47,4.587607157755148e-12,8.363556881049049e-06,2.3708203094255833e-09,5.318343603341784e-10,2.5548355145305714e-07,1.3750084423609773e-07,2.6171056580854426e-06,7.0393683511649134e-15,4.994988751161605e-11,9.893319394401781e-08,2.6820263735175907e-06,2.6458142841284806e-08,2.6458142841284806e-08,1.1963272958817194e-12,2.6962273001499947e-11,6.164649115623372e-09
2.48,4.142253326587281e-12,8.363014506089283e-06,2.3704752337854543e-09,5.317233128415688e-10,2.531722063512244e-07,1.3804291683777927e-07,2.619224447020485e-06,7.095684999962305e-15,4.988630701210762e-11,9.931422492014918e-08,2.6844990626033823e-06,2.66511551878693e-08,2.66511551878693e-08,1.2009629415236135e-12,2.706862853181751e-11,6.165503181519122e-09
2.49,3.719745201542375e-12,8.362472214199345e-06,2.370115058431212e-09,5.316122889921499e-10,2.50877963679061e-07,1.3858490706809303e-07,2.6213258696279728e-06,7.152219150609409e-15,4.98385470495582e-11,9.969519808906325e-08,2.686954623996882e-06,2.6844446508613124e-08,2.6844446508613124e-08,1.205596923919902e-12,2.717496186468841e-11,6.166333681122057e-09
2.5,3.3209704324187e-12,8.361930005374979e-06,2.3697394466422393e-09,5.315012887804245e-10,2.486003299738673e-07,1.3912681491458828e-07,2.6234104248987234e-06,7.208970718166213e-15,4.980692763148368e-11,1.0007611442133729e-07,2.6893935501944666e-06,2.7038011612123074e-08,2.7038011612123074e-08,1.210229243552814e-12,2.7281273005212188e-11,6.167139743495711e-09
2.5100000000000002,2.946816669014461e-12,8.361387879611927e-06,2.3693480616979205e-09,5.313903122008959e-10,2.46338811772943e-07,1.3966864036481447e-07,2.625478611823557e-06,7.265939617692721e-15,4.9791768765399956e-11,1.0045697488754866e-07,2.6918163336925156e-06,2.7231845307005956e-08,2.7231845307005956e-08,1.214859900904579e-12,2.7387561958488393e-11,6.167920497703618e-09
2.52,2.598171561127931e-12,8.360845836905934e-06,2.3689405668776378e-09,5.312793592480673e-10,2.4409291561358833e-07,1.4021038340632088e-07,2.6275309293932915e-06,7.323125764248924e-15,4.979339045882291e-11,1.0083778045827462e-07,2.694223466987406e-06,2.7425942401868553e-08,2.7425942401868553e-08,1.2194888964574268e-12,2.7493828729616556e-11,6.168675072809314e-09
2.5300000000000002,2.275922758557312e-12,8.360303877252745e-06,2.3685166254607758e-09,5.311684299164419e-10,2.4186214803310303e-07,1.4075204402665696e-07,2.6295678765987466e-06,7.38052907289482e-15,4.9812112719268444e-11,1.0121853210409251e-07,2.696615442575516e-06,2.762029770531768e-08,2.762029770531768e-08,1.2241162306935868e-12,2.760007332369623e-11,6.169402597876331e-09
2.54,1.9809579111008725e-12,8.359762000648102e-06,2.368075900726717e-09,5.310575242005228e-10,2.3964601556878723e-07,1.4129362221337202e-07,2.63158995243074e-06,7.4381494586904e-15,4.984825555425244e-11,1.0159923079557961e-07,2.698992752953225e-06,2.7814906025960115e-08,2.7814906025960115e-08,1.2287419040952882e-12,2.7706295745826954e-11,6.170102201968205e-09
2.5500000000000003,1.7141646685568231e-12,8.359220207087752e-06,2.367618055954845e-09,5.309466420948131e-10,2.374440247579408e-07,1.4183511795401548e-07,2.6335976558800915e-06,7.495986836695668e-15,4.9902138971290794e-11,1.0197987750331325e-07,2.7013558906169097e-06,2.8009762172402675e-08,2.8009762172402675e-08,1.2333659171447608e-12,2.781249600110827e-11,6.170773014148469e-09
2.56,1.476430680723425e-12,8.358678496567436e-06,2.3671427544245434e-09,5.308357835938162e-10,2.3525568213786383e-07,1.4237653123613666e-07,2.6355914859376195e-06,7.55404112197061e-15,4.99740829778994e-11,1.0236047319787073e-07,2.703705348062949e-06,2.820486095325214e-08,2.820486095325214e-08,1.237988270324234e-12,2.7918674094639717e-11,6.171414163480658e-09
2.57,1.2686435973989029e-12,8.3581368690829e-06,2.3666496594151957e-09,5.307249486920351e-10,2.3308049424585625e-07,1.4291786204728496e-07,2.637571941594143e-06,7.612312229575229e-15,5.0064407581594143e-11,1.0274101884982934e-07,2.706041617787721e-06,2.840019717711532e-08,2.840019717711532e-08,1.242608964115937e-12,2.8024830031520842e-11,6.1720247790283065e-09
2.58,1.0916910683814866e-12,8.357595324629887e-06,2.366138434206185e-09,5.306141373839729e-10,2.3091796761921792e-07,1.4345911037500975e-07,2.6395395218404807e-06,7.67080007456952e-15,5.017343278989092e-11,1.0312151542976644e-07,2.7083651922876034e-06,2.8595765652599017e-08,2.8595765652599017e-08,1.2472279990020999e-12,2.813096381685119e-11,6.172603989854949e-09
2.59,9.464607434694299e-13,8.357053863204143e-06,2.365608742076895e-09,5.305033496641329e-10,2.2876760879524904e-07,1.4400027620686036e-07,2.6414947256674512e-06,7.729504572013474e-15,5.030147861030562e-11,1.0350196390825929e-07,2.7106765640589745e-06,2.8791561188310012e-08,2.8791561188310012e-08,1.2518453754649516e-12,2.823707545573029e-11,6.173150925024119e-09
2.6,8.338402724609572e-13,8.356512484801408e-06,2.3650602463067086e-09,5.303925855270184e-10,2.2662892431124935e-07,1.4454135953038623e-07,2.643438052065874e-06,7.788425636967094e-15,5.0448865050354137e-11,1.0388236525588522e-07,2.7129762255982134e-06,2.898757859285512e-08,2.898757859285512e-08,1.256461093986722e-12,2.8343164953257704e-11,6.17366471359935e-09
2.61,7.547173051543156e-13,8.355971189417431e-06,2.3644926101750097e-09,5.302818449671322e-10,2.2450142070451904e-07,1.4508236033313664e-07,2.6453700000265673e-06,7.847563184490366e-15,5.061591211755235e-11,1.0426272044322152e-07,2.715264669401697e-06,2.9183812674841123e-08,2.9183812674841123e-08,1.2610751550496401e-12,2.844923231453296e-11,6.174144484644179e-09
2.62,7.099794913477356e-13,8.355429977047952e-06,2.3639054969611814e-09,5.301711279789778e-10,2.223846045123579e-07,1.4562327860266104e-07,2.6472910685403505e-06,7.906917129643297e-15,5.080293981941617e-11,1.0464303044084553e-07,2.717542387965804e-06,2.9380258242874834e-08,2.9380258242874834e-08,1.265687559135936e-12,2.855527754465561e-11,6.1745893672221374e-09
2.63,7.005144808394587e-13,8.354888847688718e-06,2.3632985699446074e-09,5.300604345570582e-10,2.2027798227206608e-07,1.4616411432650873e-07,2.6492017565980417e-06,7.966487387485873e-15,5.1010268163461474e-11,1.0502329621933452e-07,2.719809873786912e-06,2.9576910105563038e-08,2.9576910105563038e-08,1.2702983067278386e-12,2.8661300648725183e-11,6.174998490396761e-09
2.64,7.272099234277211e-13,8.35434780133547e-06,2.362671492404671e-09,5.299497646958767e-10,2.181810605209434e-07,1.4670486749222915e-07,2.65110256319046e-06,8.026273873078096e-15,5.1238217157204164e-11,1.0540351874926583e-07,2.7220676193614003e-06,2.9773763071512543e-08,2.9773763071512543e-08,1.274907398307578e-12,2.876730163184124e-11,6.175370983231584e-09
2.65,7.909534689107581e-13,8.353806837983955e-06,2.3620239276207556e-09,5.298391183899363e-10,2.1609334579629e-07,1.4724553808737162e-07,2.6529939873084243e-06,8.086276501479958e-15,5.1487106808160116e-11,1.0578369900121675e-07,2.724316117185646e-06,2.9970811949330136e-08,2.9970811949330136e-08,1.279514834357383e-12,2.8873280499103304e-11,6.1757059747901405e-09
2.66,8.009747849451784e-13,8.353265956799912e-06,2.361413499716347e-09,5.297284956697542e-10,2.1404704430360306e-07,1.477861181872723e-07,2.6548435139955883e-06,8.146495935291464e-15,5.169055431168489e-11,1.0616377380381102e-07,2.7265232250598784e-06,3.016830786577968e-08,3.016830786577968e-08,1.2841206228342396e-12,2.8979237211374443e-11,6.176102994030652e-09
2.67,5.156292974976434e-13,8.352725155582858e-06,2.360993239654547e-09,5.296178966251284e-10,2.1212818775847245e-07,1.4832658684331514e-07,2.6565642854644917e-06,8.206934067605899e-15,5.1672380247846006e-11,1.0654357440437556e-07,2.7286030822219107e-06,3.036692386186174e-08,3.036692386186174e-08,1.2887247839990054e-12,2.9085171656701927e-11,6.176826833837328e-09
2.68,2.4085265828528764e-13,8.352184437090874e-06,2.3605699105518743e-09,5.295073211307037e-10,2.1022745455018549e-07,1.4886697037577894e-07,2.658266674809473e-06,8.267588325586627e-15,5.165489903311816e-11,1.0692331524507338e-07,2.7306647930819035e-06,3.056580169072811e-08,3.056580169072811e-08,1.293327293457088e-12,2.919108398740929e-11,6.17754248121044e-09
2.69,-2.312801220322683e-14,8.35164380131372e-06,2.3601435933800438e-09,5.293967691812428e-10,2.08344586864796e-07,1.49407268715194e-07,2.659950943107759e-06,8.328458629680753e-15,5.163794998406774e-11,1.073029968342455e-07,2.7327086149556995e-06,3.076493800813133e-08,3.076493800813133e-08,1.2979281517445825e-12,2.929697420827726e-11,6.178249788741048e-09
2.7,-2.7608559347929613e-13,8.35110324824116e-06,2.359714369110772e-09,5.292862407715085e-10,2.0647932688835754e-07,1.4994748179209067e-07,2.6616173514365777e-06,8.389544900335398e-15,5.162137241726114e-11,1.0768261968023307e-07,2.7347348051591408e-06,3.096432946982402e-08,3.096432946982402e-08,1.3025273593975854e-12,2.9402842324086613e-11,6.178948609020213e-09
2.71,-5.177929650542687e-13,8.350562777862958e-06,2.3592823187157737e-09,5.291757358962635e-10,2.0463141680692393e-07,1.504876095369993e-07,2.6632661608731555e-06,8.45084705799766e-15,5.160500564926474e-11,1.080621842913771e-07,2.7367436210080703e-06,3.116397273155873e-08,3.116397273155873e-08,1.3071249169521924e-12,2.95086883396181e-11,6.179638794638997e-09
2.72,-7.480230064395353e-13,8.350022390168874e-06,2.358847523166765e-09,5.290652545502705e-10,2.0280059880654868e-07,1.5102765188045028e-07,2.66489763249472e-06,8.512365023114661e-15,5.158868899664493e-11,1.084416911760187e-07,2.738735319818331e-06,3.1363864449088066e-08,3.1363864449088066e-08,1.3117208249445e-12,2.9614512259652474e-11,6.1803201981884605e-09
2.73,-9.665485971464492e-13,8.349482085148676e-06,2.358410063435462e-09,5.28954796728292e-10,2.0098661507328564e-07,1.515676087529739e-07,2.6665120273784987e-06,8.574098716133504e-15,5.1572261775968105e-11,1.0882114084249894e-07,2.740710158905765e-06,3.1564001278164595e-08,3.1564001278164595e-08,1.3163150839106034e-12,2.972031408897048e-11,6.180992672259664e-09
2.74,-1.1731426166863945e-12,8.34894186279212e-06,2.3579700204935803e-09,5.288443624250909e-10,1.9918920779318834e-07,1.5210748008510052e-07,2.6681096066017185e-06,8.636048057501305e-15,5.1555563303800645e-11,1.092005337991589e-07,2.742668395586216e-06,3.1764379874540915e-08,3.1764379874540915e-08,1.3209076943865992e-12,2.982609383235289e-11,6.1816560694436685e-09
2.75,-1.367577944570727e-12,8.348401723088973e-06,2.357527475312836e-09,5.2873395163543e-10,1.9740811915231063e-07,1.5264726580736045e-07,2.6696906312416064e-06,8.698212967665167e-15,5.1538432896708946e-11,1.0957987055433962e-07,2.744610287175526e-06,3.1964996893969585e-08,3.1964996893969585e-08,1.3254986569085832e-12,2.993185149458045e-11,6.182310242331535e-09
2.7600000000000002,-1.5496274603108345e-12,8.347861666028996e-06,2.3570825088649437e-09,5.286235643540717e-10,1.9564309133670599e-07,1.531869658502841e-07,2.6712553623753904e-06,8.760593367072211e-15,5.152070987125939e-11,1.0995915161638223e-07,2.746536090989538e-06,3.216584899220321e-08,3.2165848992203214e-08,1.3300879720126514e-12,3.00375870804339e-11,6.182955043514326e-09
2.77,-1.7190640434180694e-12,8.347321691601952e-06,2.3566352021216202e-09,5.285132005757789e-10,1.938938665324283e-07,1.5372658014440175e-07,2.6728040610802973e-06,8.823189176169538e-15,5.150223354401837e-11,1.1033837749362777e-07,2.7484460643440945e-06,3.2366932824994354e-08,3.2366932824994354e-08,1.3346756402348997e-12,3.0143300594694015e-11,6.183590325583101e-09
2.7800000000000002,-1.875660573403816e-12,8.346781799797605e-06,2.356185636054581e-09,5.284028602953142e-10,1.9216018692553112e-07,1.542661086202438e-07,2.674336988433554e-06,8.886000315404268e-15,5.1482843231552274e-11,1.1071754869441733e-07,2.7503404645550382e-06,3.2568245048095616e-08,3.2568245048095616e-08,1.3392616621114243e-12,3.024899204214154e-11,6.184215941128922e-09
2.79,-2.019189929779434e-12,8.346241990605717e-06,2.3557338916355415e-09,5.282925435074405e-10,1.904417947020682e-07,1.5480555120834057e-07,2.6758544055123886e-06,8.949026705223502e-15,5.146237825042749e-11,1.1109666572709198e-07,2.752219548938212e-06,3.2769782317259564e-08,3.2769782317259564e-08,1.343846038178321e-12,3.0354661427557225e-11,6.184831742742848e-09
