t,bLR,aG,cAMP,aCaMK,Ca,CaCaM,V
1.97,0.0009744856096660855,0.057394278889877026,0.1773159933962388,1.263378991127971,2.990413704778232,0.1081573014287635,-59.526161269326735
1.98,0.0008817514891977048,0.054765817957387004,0.1691640727999146,1.265940238808138,2.938713127759137,0.10635831304437507,-59.696712684508064
1.99,0.0007978421573658043,0.05224972612285703,0.16136730695936902,1.2682465767227522,2.8875617509650056,0.1045727752154245,-59.86587178281217
2.0,0.0007219177879410532,0.04984197247407999,0.15391277646802454,1.2703021132782149,2.8369828538369126,0.10280196020568774,-60.033574157351836
2.0100000000000002,0.0006532185184563444,0.04753859213093928,0.1467877146952364,1.2721110767360508,2.7869968738807325,0.10104701779275375,-60.19976140219202
2.02,0.0005910568143007686,0.04533569452779316,0.1399795507369275,1.273677798713123,2.737621603969928,0.09930898208019075,-60.36438059432615
2.0300000000000002,0.0005348105710923738,0.043229470303782006,0.13347594522161121,1.2750066987235031,2.688872381295411,0.09758877824467219,-60.52738397428618
2.04,0.00048391700831623756,0.041216196706229405,0.12726481857254637,1.2761022699125761,2.640762265873305,0.09588722915648387,-60.68872839349276
2.05,0.00043786664940792655,0.03929224286497481,0.12133437859184348,1.2769690650224497,2.593302216683336,0.09420506190889007,-60.848375160249546
2.06,0.0003961985205117236,0.037454072806861645,0.11567313659000711,1.2776116842758243,2.5465012507646487,0.09254291408812619,-61.00628968611976
2.07,0.0003584955611646655,0.03569824812144614,0.11026992191694668,1.278034763811974,2.5003665959097323,0.09090133983119453,-61.16244048998594
2.08,0.0003243804722936522,0.03402142976402252,0.10511389256376154,1.2782429649387406,2.454903834182772,0.08928081568288888,-61.31680034691213
2.09,0.00029351181819455116,0.032420379590708974,0.10019454394421533,1.2782409640417378,2.410117039992301,0.08768174619692774,-61.46934484425011
2.1,0.0002655806698537403,0.03089196090311889,0.09550171307453259,1.2780334435892744,2.3660089061396343,0.08610446922606957,-61.6200523542328
2.11,0.00024030754520438065,0.029433138594656173,0.09102558080527333,1.277625083933847,2.322580861369075,0.08454926088280268,-61.76890413355793
2.12,0.0002174396369389619,0.028040978763026025,0.0867566717421473,1.2770205556782606,2.2798331812968518,0.08301634034563284,-61.915884065839954
2.13,0.00019674795568204302,0.02671264855387034,0.08268585507317865,1.2762245119859763,2.2377650999109107,0.08150587461554722,-62.060978222256345
2.14,0.00017802529620167948,0.025445414650132895,0.07880433914415812,1.2752415827395351,2.196374900805399,0.08001798264799595,-62.20417473827165
2.15,0.00016108437258231236,0.024236641655253695,0.0751036656778048,1.2740763693636465,2.155660000573569,0.07855273910694036,-62.34546447346801
2.16,0.00014575544976926197,0.023083791184856314,0.071575707363351,1.2727334383310427,2.1156170469372175,0.07711017866582802,-62.48483981403776
2.17,0.0001318851842854672,0.021984419243161087,0.0682126576022551,1.2712173178201494,2.0762419813828075,0.07569029900951697,-62.622294482580784
2.18,0.00011933487137458771,0.020936174722569523,0.06500702514414276,1.2695324931330776,2.0375301142096007,0.07429306419732927,-62.75782452790728
2.19,0.00010797884283729873,0.01993679743090844,0.061951626930256715,1.2676834022101093,1.9994761999187534,0.07291840812536107,-62.89142746902477
2.2,9.770347643290284e-05,0.018984115634968532,0.05903957864837793,1.2656744331717398,1.9620744876322467,0.07156623694169485,-63.02310267163201
2.21,8.840599436098139e-05,0.0180760438288593,0.05626428638228153,1.2635099211503278,1.9253187796369375,0.0702364318134206,-63.152850377975454
2.22,7.999321679072502e-05,0.017210580507126268,0.05361943842993739,1.261194145028227,1.8892024919417376,0.06892885173935727,-63.28067236953988
2.23,7.238098563244757e-05,0.016385805334304653,0.05109899475537042,1.258731326213321,1.8537186898451188,0.06764333534937485,-63.406571966439245
2.24,6.549317044481387e-05,0.015599876916077265,0.04869717864502352,1.2561256263012097,1.81886013606322,0.06637970318016019,-63.53055368163946
2.25,5.9260780256870994e-05,0.014851030302115296,0.04640846741039224,1.2533811449200567,1.7846193372718233,0.06513775992346543,-63.65262323419548
2.2600000000000002,5.362146885337548e-05,0.01413757449292901,0.04422758305848176,1.2505019190485804,1.7509885712801319,0.06391729581114079,-63.77278713766659
2.27,4.8518837992026334e-05,0.013457889957755334,0.04214948340238213,1.247491921563783,1.7179599247628106,0.0627180884393787,-63.891053670989216
2.2800000000000002,4.390175303262781e-05,0.012810426191480383,0.040169352898514095,1.244355059875921,1.6855253291508394,0.06153990454202612,-64.00743186748454
2.29,3.972402620007192e-05,0.012193699249765249,0.03828259388096806,1.2410951758464728,1.6536765801411555,0.060382501014456684,-64.12193073052565
2.3000000000000003,3.594386951124535e-05,0.011606289357552667,0.03648481792692642,1.237716044914623,1.6224053675557457,0.05924562638071379,-64.23456164690937
2.31,3.2523411254864405e-05,0.011046838484583736,0.03477183703171976,1.234221375438896,1.5917033020297053,0.05812902214610254,-64.34533672748852
2.32,2.942844855430448e-05,0.010514048121482867,0.03313965574544184,1.2306148089332118,1.5615619295178578,0.057032423575701104,-64.45426842829399
2.33,2.6628019014312866e-05,0.010006676970660579,0.031584462933136964,1.2268999196319617,1.5319727548644901,0.05595556088509754,-64.56137005797667
2.34,2.4094086457864336e-05,0.009523538705674059,0.030102623805523143,1.223080214475644,1.502927259542162,0.05489816016865805,-64.66665553679468
2.35,2.180132509904396e-05,0.009063499916951444,0.028690672798878214,1.2191591334757956,1.4744169136901348,0.05385994405648669,-64.77014035905093
2.36,1.9726743393832658e-05,0.008625477804705472,0.027345305396704548,1.2151400494656794,1.446433197596557,0.052840632798079414,-64.87184009760996
2.37,1.7849596676855634e-05,0.008208438318364103,0.02606337195341801,1.211026268945747,1.4189676070590052,0.051839944588129856,-64.9717708414717
2.38,1.6151075397378284e-05,0.007811394056291323,0.02484187022018879,1.2068210320857695,1.3920116702426792,0.05085759645396561,-65.06994958391688
2.39,1.4614166017052594e-05,0.007433402331853734,0.02367793885729023,1.2025275133724436,1.3655569560504124,0.04989330471701933,-65.16639388679154
2.4,1.3223519325458237e-05,0.007073563526221071,0.022568851857327498,1.1981488222898387,1.3395950804393677,0.04894678536994073,-65.26112178407271
2.41,1.1965178639481691e-05,0.006731018851777314,0.021512010758819672,1.193688003466715,1.314117722367628,0.04801775490639279,-65.3541518542424
2.42,1.0826597883209959e-05,0.006404949202144061,0.020504941088733172,1.1891480379069659,1.289116621049642,0.04710593025016279,-65.44550309997194
2.43,9.796347025122745e-06,0.006094572817227867,0.01954528417130291,1.1845318430577525,1.2645835932762215,0.04621102965797612,-65.53519496432651
2.44,8.864151569290302e-06,0.005799144298534661,0.018630794250790613,1.1798422740912815,1.2405105294465362,0.04533277257223244,-65.62324731683513
2.45,8.020662596942411e-06,0.005517952505370346,0.01775933118145611,1.1750821242175573,1.216889406693338,0.04447088032568967,-65.70968036104931
2.46,7.257470614331731e-06,0.005250319504479786,0.016928857301771554,1.1702541258507693,1.193712286752834,0.043625076076905765,-65.79451462763764
2.47,6.5668925054390206e-06,0.004995598546485736,0.016137430401078165,1.1653609509928604,1.1709713276958036,0.042795085453318345,-65.87777094421503
2.48,5.942059284315025e-06,0.004753173458584106,0.015383202230711027,1.1604052126162026,1.1486587769900274,0.041980636248700326,-65.95947039900662
2.49,5.376657656117466e-06,0.004522456312916447,0.014664410401516424,1.155389464919026,1.1267669864997933,0.041181459216897226,-66.03963429678419
2.5,4.8650783531347265e-06,0.004302887323330325,0.013979378715515868,1.1503162048576354,1.1052884012800812,0.04039728755117933,-66.11828411601752
2.5100000000000002,4.402151240522862e-06,0.004093932336721335,0.013326508414185333,1.145187872413386,1.0842155751405498,0.039627857720369454,-66.19544150321126
2.52,3.983286187041035e-06,0.003895082961249611,0.012704279258437074,1.140006852023402,1.0635411595563162,0.03887290894250885,-66.2711282990451
2.5300000000000002,3.604258451105228e-06,0.003705854139249169,0.012111241212661375,1.1347754730647326,1.0432579163146691,0.038132183875961415,-66.34536640789601
2.54,3.2613084488333883e-06,0.0035257843017358218,0.011546015450944802,1.1294960110604833,1.0233587087553104,0.037405428207754006,-66.41817772805787
2.5500000000000003,2.9509787047831138e-06,0.0033544331176513544,0.011007286793633005,1.1241706883781548,1.0038365111813567,0.036692391182382,-66.48958423999272
2.56,2.670192003924213e-06,0.003191381671406974,0.010493804702681794,1.118801675287811,0.9846844015063755,0.03599282525774001,-66.55960816977587
2.57,2.4161123637242366e-06,0.0030362303359963644,0.010004376199974803,1.1133910907641023,0.9658955689537191,0.035306486548293305,-66.62827166574404
2.58,2.1862216319158575e-06,0.0028885990218150055,0.009537867094000086,1.1079410034768948,0.9474633069243866,0.03463313448997216,-66.69559649821635
2.59,1.978194414991808e-06,0.002748125156250881,0.009093195272611296,1.1024534326463689,0.9293810196542359,0.03397253222985107,-66.76160450293887
2.6,1.7899682462435368e-06,0.002614463936188545,0.008669331888119873,1.0969303489774798,0.9116422158444089,0.03332444631559324,-66.82631784898848
2.61,1.619645509202531e-06,0.0024872865600690636,0.008265295583564897,1.0913736755635899,0.8942405132136457,0.03268864698830004,-66.88975847022232
2.62,1.4655317095001485e-06,0.002366280257682054,0.007880152839467396,1.0857852887277868,0.8771696341697698,0.03206490798306231,-66.95194798243134
2.63,1.3260807671030586e-06,0.0022511469582516064,0.00751301372645536,1.0801670189795771,0.8604234076971042,0.03145300666839285,-67.01290793586554
2.64,1.1999007078274426e-06,0.0021416030036368714,0.007163031162744329,1.0745206518028152,0.8439957669985354,0.0308527239618305,-67.07265995513885
2.65,1.0857272846479096e-06,0.0020373782153259084,0.006829398008586393,1.068847928589119,0.8278807495018531,0.030263844366432664,-67.13122554351226
2.66,9.824180994140024e-07,0.0019382153969949765,0.006511345578745505,1.0631505474540797,0.8120724955683137,0.029686155930413776,-67.18862568322625
2.67,8.889397372557506e-07,0.0018438696941493837,0.006208141720055572,1.0574301640976005,0.7965652474566909,0.0291194502321652,-67.244880954789
2.68,8.043542903018716e-07,0.0017541079496170605,0.005919088829431102,1.0516883926511105,0.7813533485483396,0.028563522370902573,-67.30001222265516
2.69,7.278185459392318e-07,0.0016687083037055129,0.005643522686184682,1.045926806471947,0.7664312417155539,0.028018170908221014,-67.35404052914927
2.7,6.58563230191628e-07,0.0015874594318558445,0.005380810148414631,1.0401469390113904,0.7517934687609206,0.027483197883498234,-67.40698624914168
2.71,5.958991010291433e-07,0.001510160327510454,0.005130348563501341,1.0343502845334038,0.737434668439174,0.026958408734421138,-67.4588693247357
2.72,5.391960740879877e-07,0.0014366194899424146,0.004891563255628274,1.0285382990219474,0.7233495760248437,0.026443612309933074,-67.5097097276764
2.73,4.878903966163204e-07,0.0013666548284568636,0.004663907344821056,1.0227124008135466,0.7095330211988706,0.025938620789373708,-67.55952703313514
2.74,4.4146557766949065e-07,0.001300092828921055,0.004446859190691093,1.0168739715384454,0.6959799275093169,0.025443249688479264,-67.60834057727219
2.75,3.9945993252755687e-07,0.0012367685454330835,0.004239922477289301,1.0110243566790644,0.6826853103279888,0.024957317777595883,-67.65616978274456
2.7600000000000002,3.614495712555839e-07,0.001176524779125087,0.004042623663071692,1.0051648665320776,0.6696442761622791,0.024480647081483297,-67.70303360538264
2.77,3.2705752461848703e-07,0.001119212143446033,0.0038545122069041263,0.9992967767086544,0.6568520208068013,0.024013062794428684,-67.74895058181203
2.7800000000000002,2.959363666626326e-07,0.0010646882436293463,0.0036751581661553633,0.9934213291004625,0.6443038283690008,0.023554393279141963,-67.79393914604273
2.79,2.67777576408592e-07,0.001012817786415684,0.003504152534539429,0.9875397323264455,0.6319950695691954,0.02310446998741353,-67.83801742862642
2.8000000000000003,2.422969636126875e-07,0.0009634718056851695,0.0033411049101391825,0.9816531627047551,0.6199212006784005,0.022663127444737998,-67.88120324264393
2.81,2.1924186138003703e-07,0.0009165277810635913,0.003185643943826771,0.9757627646478586,0.60807776188795,0.02223020318410241,-67.9235142213527
2.82,1.9837981396431015e-07,0.0008718689260630032,0.0030374151541045897,0.9698696516261065,0.5964603761434961,0.02180553771789431,-67.96496767161965
2.83,1.7950572083340838e-07,0.000829384389395771,0.002896081597673011,0.9639749064651081,0.5850647476803286,0.02138897447611276,-68.00558057933038
2.84,1.6242786421020866e-07,0.0007889683477787738,0.0027613211543853298,0.9580795824840496,0.5738866606915334,0.02098035978076634,-68.04536970865558
2.85,1.4697528031977168e-07,0.0007505202536878708,0.002632827289297932,0.9521847037337725,0.5629219780213697,0.020579542785722993,-68.08435155298427
2.86,1.3299571976149217e-07,0.0007139445719804726,0.002510308278943488,0.9462912656340777,0.5521666398405132,0.020186375431751835,-68.12254236392751
2.87,1.203443630961847e-07,0.0006791499890233309,0.002393484881172791,0.9404002360495038,0.5416166621516385,0.019800712413590292,-68.15995810052314
2.88,1.0889871262690457e-07,0.0006460501320161665,0.002282092471000064,0.9345125550928836,0.5312681358633166,0.01942241111772101,-68.19661421105542
2.89,9.85418935616421e-08,0.0006145624378079179,0.00217587770629038,0.9286291365156115,0.521117225022435,0.019051331589440796,-68.23252594138737
2.9,8.916843165633525e-08,0.0005846083690703693,0.0020745991797368486,0.9227508679176251,0.5111601657660876,0.01868733648401091,-68.26770833281391
2.91,8.068764379205831e-08,0.0005561135283697274,0.0019780277783381585,0.9168786110186667,0.5013932653145317,0.018330291024558257,-68.30217670216452
2.92,7.30120484100164e-08,0.0005290067190823574,0.0018859438922850327,0.9110132029600413,0.4918129000267215,0.017980062950974787,-68.33594573832447
2.93,6.606520186095885e-08,0.000503220405408594,0.0017981387664463887,0.9051554562161239,0.4824155148072844,0.017636522484634324,-68.36902949773115
2.94,5.97787809971141e-08,0.00047869038014560183,0.0017144135253994153,0.8993061593040225,0.47319762169557184,0.017299542282151772,-68.40144130312703
2.95,5.4090019091867175e-08,0.0004553554781120311,0.001634578381497711,0.8934660774469579,0.4641557984749869,0.016968997390740637,-68.43319490505394
2.96,4.89425011949508e-08,0.00043315755642351294,0.0015584525690676512,0.8876359529212992,0.45528668773832637,0.016644765212829635,-68.46430430323997
2.97,4.428460183350633e-08,0.0004120412042377266,0.0014858635042837383,0.88181650591278,0.44658699498265225,0.016326725439012302,-68.49478299670113
2.98,4.007002898642212e-08,0.000391953834397828,0.0014166470377452746,0.876008434230934,0.4380534892555832,0.016014760070632676,-68.52464425510676
2.99,3.625627526701761e-08,0.0003728452590597685,0.0013506462274955955,0.8702124148941291,0.42968299944003263,0.015708753286911986,-68.55390003381605
3.0,3.28055278681254e-08,0.00035466793074520565,0.0012877120343706278,0.8644291032401127,0.42147241633634613,0.015408591519481504,-68.58256255835495
3.0100000000000002,2.968314461990839e-08,0.00033737647266859715,0.0012277019489599248,0.8586591347111311,0.41341868846963586,0.015114163301916412,-68.61064384890412
3.02,2.6857816290505648e-08,0.00032092772248713217,0.0011704801262273276,0.8529031247548268,0.40551882229720915,0.014825359277585954,-68.63815637829806
3.0300000000000002,2.4301568637648788e-08,0.0003052807337135251,0.0011159173858182549,0.8471616687895774,0.39776988230131277,0.01454207220272938,-68.66511254883234
3.04,2.198844171892184e-08,0.0002903963303687819,0.0010638899194379628,0.8414353440828891,0.3901689865103583,0.014264196786095336,-68.69152355758898
3.0500000000000003,1.9895634034402932e-08,0.00027623748171877303,0.0010142803782347831,0.8357247082085586,0.38271331016587956,0.013991629820091804,-68.71740061471844
3.06,1.8001967530195122e-08,0.00026276876836001903,0.0009669763203673214,0.8300303013378998,0.37540008024790267,0.013724269984414523,-68.74275378408751
3.0700000000000003,1.6288530155553968e-08,0.00024995658016814363,0.0009218707827331457,0.824352645451616,0.3682265773392429,0.013462017912564142,-68.76759410004632
3.08,1.4738251640862855e-08,0.0002377689720484514,0.0008788618625018535,0.8186922449544494,0.3611901341582718,0.013204776139261206,-68.7919325992524
3.09,1.333540506248662e-08,0.00022617542289192968,0.0008378520084096719,0.8130495878900972,0.35428813260036146,0.01295244899345813,-68.81578023852168
3.1,1.2066224405582959e-08,0.00021514711201783233,0.0007987488307399919,0.8074251445946347,0.3475180070051294,0.012704942716328084,-68.83914765426515
3.11,1.0917892129488551e-08,0.00020465645138036418,0.0007614637250783156,0.8018193700293594,0.3408772384835273,0.012462165256276136,-68.86204382986264
3.12,9.878855956962545e-09,0.00019467721796773837,0.0007259122799908019,0.7962327031685043,0.3343633563911713,0.01222402632217377,-68.884477359979
3.13,8.938742259961471e-09,0.00018518451304629823,0.0006920141418388234,0.790665567203995,0.3279739378325375,0.011990437365355492,-68.90645765473491
3.14,8.088095845375524e-09,0.00017615460695363767,0.0006596925581791271,0.785118370439463,0.321706605455487,0.011761311499656323,-68.92799703963078
3.15,7.318401330986589e-09,0.0001675649401482528,0.000628874378279701,0.7795915063260168,0.31555902735360525,0.011536563497747588,-68.9491029298038
3.16,6.621953950109877e-09,0.00015939405351566029,0.0005994898471753778,0.7740853538515906,0.3095289161076769,0.011316109756455948,-68.96978385613644
3.17,5.991783293748493e-09,0.0001516215362391954,0.0005714724547969572,0.7686002778679099,0.30361402797234815,0.011099868267242413,-68.99004922621097
3.18,5.421580010857389e-09,0.00014422797063924305,0.0005447587734059462,0.7631366294514834,0.29781216197531485,0.010887758583457552,-69.00990744154868
3.19,4.905627771747775e-09,0.00013719487862028825,0.0005192882976926729,0.7576947462652013,0.29212115901270536,0.010679701787440456,-69.02936689854123
3.2,4.438765596256009e-09,0.000130504690895436,0.0004950033536641345,0.7522749527732825,0.2865389013095749,0.010475620470898101,-69.0484358096634
3.21,4.016333042999942e-09,0.00012414070162816132,0.0004718489635870485,0.7468775605583861,0.281063311624094,0.01027543870595509,-69.06712228973545
3.22,3.6341035589141636e-09,0.00011808701125362432,0.00044977267593935,0.741502868731315,0.2756923522171229,0.010079082007662632,-69.08543421118746
3.23,3.2882511283551468e-09,0.00011232849357718037,0.0004287244663428034,0.7361511641844186,0.27042402421128703,0.009886477310656686,-69.10337928715353
3.24,2.975309332321987e-09,0.00010685075484831284,0.0004086566149216482,0.7308227219103547,0.2652563667839165,0.009697552939763095,-69.1209650820991
3.25,2.6921138199620347e-09,0.00010164007216070961,0.000389523519011104,0.72551780550202,0.2601874558972462,0.009512238563726752,-69.13819899890244
3.2600000000000002,2.4358423198498077e-09,9.668343657768856e-05,0.0003712818241851489,0.72023666680178,0.2552154051894915,0.009330465227682683,-69.15508828198135
3.27,2.203950641282674e-09,9.196848060537506e-05,0.0003538902076703436,0.7149795465099104,0.25033836442485163,0.009152165296673799,-69.1716400214357
3.2800000000000002,1.9940777069504276e-09,8.748337555526919e-05,0.00033730906868287703,0.7097466750216425,0.24555451736637354,0.008977272378143105,-69.18786116066843
3.29,1.804221094629919e-09,8.321701984268944e-05,0.00032150109457180695,0.7045382709002268,0.2408620856544838,0.008805721463245179,-69.20375848502711
3.3000000000000003,1.6323779571063575e-09,7.915863105244361e-05,0.0003064300369692156,0.6993545443095224,0.2362593200604751,0.008637448608094346,-69.21933865674839
3.31,1.476955757863131e-09,7.529822003150557e-05,0.000292062132364888,0.6941956929867885,0.23174451075620775,0.008472391308047975,-69.23460816995504
3.3200000000000003,1.3362816533335374e-09,7.162598881739472e-05,0.0002783642863933237,0.6890619075496146,0.22731597374058168,0.008310488002862979,-69.24957341242005
3.33,1.2090511967926583e-09,6.813290249180689e-05,0.0002653058057560626,0.6839533663473231,0.22297206402995093,0.008151678557655348,-69.2642406050021
3.34,1.0939077038551184e-09,6.481010988887057e-05,0.00025285663533328076,0.6788702409101721,0.21871116164921686,0.007995903751937134,-69.27861586667126
3.35,9.897477591547963e-10,6.16493874956195e-05,0.00024098871267946197,0.6738126916558,0.21453168269331707,0.007843105683150012,-69.29270516286397
3.36,8.954985545496515e-10,5.864278239813047e-05,0.00022967487271415493,0.6687808715342412,0.21043206989650323,0.007693227422523112,-69.3065143492622
3.37,8.102169468271529e-10,5.578278326030311e-05,0.00021888937420825065,0.6637749242168353,0.20641079733141068,0.007546213186580661,-69.32004915012001
3.38,7.33086581958693e-10,5.306231646506208e-05,0.00020860788806985727,0.658794984131549,0.20246637031849596,0.007402008333839133,-69.33331515869263
3.39,6.633436630700701e-10,5.04745749916326e-05,0.0001988069816543655,0.6538411785422624,0.19859731997356908,0.007260559165727367,-69.3463178681199
3.4,6.002733884780726e-10,4.801307881150936e-05,0.0001894642910144716,0.6489136265067323,0.1948022059973179,0.007121813028519509,-69.35906265095997
3.41,5.431919837388684e-10,4.56716124128451e-05,0.00018055833494329184,0.6440124397366117,0.19107961440089224,0.006985718230264869,-69.37155477284598
3.42,4.916310934606666e-10,4.3444454244723114e-05,0.0001720691743786007,0.6391377207548369,0.18742816215813543,0.00685222421030756,-69.38379934683023
3.43,4.4498177356154894e-10,4.132591201749721e-05,0.00016397705909723163,0.6342895668421863,0.183846487178132,0.006721281173766937,-69.39580141879689
3.44,4.027247195772615e-10,3.931061505173833e-05,0.00015626328006060206,0.6294680676425214,0.18033325436365105,0.006592840312341303,-69.40756592222685
3.45,3.6452726028342297e-10,3.739365417068106e-05,0.00014891063021816954,0.6246733039127768,0.17688715879476738,0.006466853920477354,-69.41909772071504
3.46,3.299359622714464e-10,3.557013504514447e-05,0.00014190199287087706,0.6199053516256642,0.17350691523631723,0.006343275012564817,-69.43040156112555
3.47,2.9859266498788546e-10,3.383548130166324e-05,0.00013522129400806538,0.6151642793082807,0.1701912649072381,0.006222057569852142,-69.44148206554664
3.48,2.7022100780878457e-10,3.2185408582903856e-05,0.0001288534061106578,0.6104501483802109,0.16693897458260482,0.006103156507625646,-69.45234363643652
3.49,2.445273385913136e-10,3.06157773327766e-05,0.00012278371991391993,0.6057630144448988,0.1637488333204439,0.005986527555875896,-69.4629906730947
3.5,2.2126199545740641e-10,2.912267305548374e-05,0.00011699836637949046,0.6011029267674748,0.16061965371887676,0.005872127305047542,-69.47342758694892
3.5100000000000002,2.0019756318757485e-10,2.7702368889867285e-05,0.00011148410320570382,0.5964699286817284,0.15755027085645695,0.0057599131673696825,-69.48365890009838
3.52,1.8113711629066198e-10,2.635133231183192e-05,0.00010622834623823421,0.5918640574611012,0.15453954265749323,0.005649843390194018,-69.49368888326441
3.5300000000000002,1.638958784912673e-10,2.506619289033522e-05,0.0001012190600068613,0.5872853448461226,0.15158634845158367,0.005541877003383098,-69.50352140525332
3.54,1.483000845003766e-10,2.3843734666537128e-05,9.644473556526815e-05,0.5827338171560362,0.1486895886785435,0.005435973808528004,-69.51315984563335
3.5500000000000003,1.3419184626883698e-10,2.2680897069514202e-05,9.189439468790497e-05,0.5782094953104386,0.1458481848293304,0.005332094376779292,-69.52260789841091
3.56,1.2142968742759201e-10,2.15747737585965e-05,8.755759427296028e-05,0.5737123949531194,0.14306107908083734,0.005230200035505745,-69.5318699893818
3.5700000000000003,1.0987901683370715e-10,2.0522587325796532e-05,8.342433208040566e-05,0.5692425267661548,0.14032723347415896,0.00513025283825873,-69.54095002024324
3.58,9.942630885434688e-11,1.9521710395454933e-05,7.948511984279105e-05,0.5647998963106626,0.137645630303205,0.00503221557894797,-69.54985248580932
3.59,8.996422852863296e-11,1.8569638436139345e-05,7.573089249665485e-05,0.5603845043465076,0.1350152712762741,0.004936051761228615,-69.55858059576167
3.6,8.140169151716375e-11,1.7663996894757028e-05,7.215302745774106e-05,0.5559963468848098,0.13243517733726845,0.004841725591931786,-69.56713661778382
3.61,7.365287931267306e-11,1.680251935739158e-05,6.874327837241273e-05,0.5516354155079807,0.12990438780261906,0.004749201949558122,-69.5755246018676
3.62,6.664222310914847e-11,1.5983057299171053e-05,6.549380573951232e-05,0.5473016972282397,0.1274219607420419,0.004658446398174216,-69.58374788853743
3.63,6.029934229886547e-11,1.520356133305222e-05,6.2397116870537e-05,0.5429951748575361,0.12498697195921286,0.004569425150167916,-69.5918101102932
3.64,5.4560317482780913e-11,1.4462079845011599e-05,5.9446060542273146e-05,0.5387158270852512,0.12259851476560585,0.004482105057973306,-69.59971426158324
3.65,4.936780033023161e-11,1.3756761354195206e-05,5.663383441207722e-05,0.534463628419267,0.12025570014521436,0.004396453620093225,-69.60746352489276
3.66,4.466944534744976e-11,1.3085840802717788e-05,5.395393985449675e-05,0.5302385495238001,0.11795765580728264,0.004312438946472628,-69.61506099899196
3.67,4.041728313240147e-11,1.2447631631423608e-05,5.1400154373700925e-05,0.5260405574470631,0.11570352553762532,0.004230029734786132,-69.62250975385629
3.68,3.657013072532417e-11,1.1840551730285626e-05,4.8966619674706905e-05,0.521869614927085,0.11349247116200424,0.004149195342208906,-69.629812726782
3.69,3.3087902262458395e-11,1.1263068212407904e-05,4.664765650187794e-05,0.5177256818637159,0.11132366838069158,0.0040699056331528535,-69.6369728495983
3.7,2.993754205032605e-11,1.0713753055313888e-05,4.443795052748827e-05,0.5136087138341533,0.10919631097108269,0.0039921311328881695,-69.64399296950586
3.71,2.708662529849343e-11,1.0191224020591892e-05,4.233235546737415e-05,0.5095186636972044,0.1071096062341514,0.003915842861094046,-69.65087587620894
3.72,2.4507229776259155e-11,9.694180274294618e-06,4.0326011674192605e-05,0.5054554806162506,0.10506277777159405,0.0038410124333738793,-69.65762429986864
3.73,2.217361601266084e-11,9.221379169976772e-06,3.841426808638127e-05,0.5014191107346511,0.10305506355207882,0.0037676119905675526,-69.66424091929113
3.74,2.0062046667620314e-11,8.771635342359016e-06,3.659267952043963e-05,0.49740949718627775,0.10108571588645293,0.00369561419784585,-69.67072835783709
3.75,1.8151953117236602e-11,8.343830188122574e-06,3.4857038029341756e-05,0.4934265798543805,0.0991540021059447,0.0036249922695004533,-69.67708918191143
3.7600000000000002,1.6423415056476855e-11,7.93688545097248e-06,3.3203283832399844e-05,0.4894702961577525,0.09725920230503877,0.003555719886434585,-69.68332591183241
3.77,1.485967000482521e-11,7.5497901106973445e-06,3.162759602448633e-05,0.48554058024693064,0.09540061164911484,0.003487771280519338,-69.68944100935038
3.7800000000000002,1.3444096471398948e-11,7.181562832285181e-06,3.0126264643893028e-05,0.48163736421551934,0.09357753686257501,0.003421121106213348,-69.69543689373671
3.79,1.2163560000709546e-11,6.831298021863801e-06,2.8695848530262017e-05,0.47776057654757126,0.09178930075467766,0.0033557446060114766,-69.70131592360245
3.8000000000000003,1.1005676416327952e-11,6.498126752952291e-06,2.7333041464401286e-05,0.47391014345888066,0.09003523830035443,0.003291617467172766,-69.70708041254707
3.81,9.958761612619364e-12,6.181210381138183e-06,2.603465096368005e-05,0.4700859892155862,0.08831469567038236,0.0032287157862654426,-69.71273263340242
3.8200000000000003,9.012103851841215e-12,5.879757923496441e-06,2.4797656844363558e-05,0.4662880353096591,0.08662703272843464,0.0031670161604541295,-69.7182748084802
3.83,8.155243285535857e-12,5.593006706387768e-06,2.3619145719197656e-05,0.4625162012803618,0.0849716205695889,0.003106495597513743,-69.72370911958484
3.84,7.381896068382437e-12,5.3202620109004e-06,2.2496441855140437e-05,0.45877040365394733,0.0833478444970531,0.003047131624641616,-69.72903768942575
3.85,6.6823908868389444e-12,5.0608224802983344e-06,2.1426860196061968e-05,0.4550505579039242,0.08175509853454622,0.0029889020878620847,-69.73426261583666
3.86,6.0482732048375585e-12,4.8140236549046e-06,2.040784980878039e-05,0.4513565773601202,0.08019278845183843,0.0029317852626210925,-69.73938595168804
3.87,5.475074252341435e-12,4.579268676508902e-06,1.9437096327140397e-05,0.44768837234712894,0.07866033419464868,0.002875759942610613,-69.7444096956218
3.88,4.9563975778348905e-12,4.3559628821019e-06,1.851230341250612e-05,0.4440458520470846,0.07715716460824829,0.002820805246890248,-69.74933581530114
3.89,4.486103188371323e-12,4.143536760271538e-06,1.763126900698015e-05,0.4404289238805912,0.07568271917239065,0.0027669006833065776,-69.75416623966325
3.9,4.059935683128603e-12,3.941464077614758e-06,1.6791945982692617e-05,0.4368374930317862,0.0742364493108623,0.002714026196363488,-69.75890285384371
3.91,3.674081463363208e-12,3.749244269159152e-06,1.5992382653030097e-05,0.43327146296188046,0.07281781694126618,0.0026621621142085793,-69.763547504879
