t,L_cc
8.950000000000001,6.73e-321
8.96,0.0
8.97,7.660411965168191e-303
8.98,4.450147717014403e-308
8.99,6.0678829e-316
9.0,0.0
9.01,4.672655102865123e-307
9.02,1.1833e-320
9.03,7.658815873270402e-303
9.040000000000001,5.853508357302836e-259
9.05,0.0
9.06,0.0
9.07,1.82941837e-316
9.08,1.6488075156071038e-244
9.09,0.0
9.1,0.0
9.11,6.55749185907e-312
9.120000000000001,1.3152660674381395e-292
9.13,1.9377e-320
9.14,0.0
9.15,8.141232075651036e-308
9.16,5.9778561196558475e-298
9.17,9.4089569565163e-311
9.18,0.0
9.19,0.0
9.200000000000001,2.6e-322
9.21,8.372522769348053e-85
9.22,9.314646832367922e+242
9.23,7.227595669276129e+159
9.24,1.0120014735527846e+261
9.25,1.278262712560897e-152
9.26,1.1949010665089346e+190
9.27,1.9831798717111624e-282
9.28,1.872246833224e-311
9.290000000000001,5.442408698506e-109
9.3,1.5747422355073508e-264
9.31,9.804947915955118e+242
9.32,5.2688743230448625e+199
9.33,2.157104467330675e+214
9.34,2.875230456906576e+161
9.35,1.5091290862917844e+270
9.36,2.4042204907289283e+212
9.370000000000001,1.1390872629822004e+246
9.38,1.3041957265808202e-307
9.39,1.3336031073828565e+241
9.4,4.9675921466525e-310
9.41,9.631974680931454e-196
9.42,5.1872850234e-313
9.43,1.1750084853428367e-308
9.44,6.013470016988173e-154
9.450000000000001,-3.384606893651731e+125
9.46,5.566639738246797e+228
9.47,2.110260443215e-312
9.48,5.23941980747794e-310
9.49,2.276706527484146e+33
9.5,2.478770822259873e+142
9.51,-2.0799734756404278e-302
9.52,3.2323245731796836e-265
9.53,8.955741569366695e-46
9.540000000000001,1.520660101033134e-91
9.55,2.1208459387141517e-285
9.56,3.474789692312721e+60
9.57,3.2322027258281623e-265
9.58,7.398307509049126e-223
9.59,6.058711318473082e-10
9.6,-3.564861071586605e-283
9.61,5.039613026004459e-266
9.620000000000001,2.5721726854533424e+151
9.63,2.6496859128893923e+180
9.64,8.243854985e-315
9.65,0.0
9.66,1e-323
9.67,1.5065578050015307e+135
9.68,7.514755047102514e+91
9.69,1.3420710953352723e+241
9.700000000000001,1.948410588322533e+135
9.71,2.87914545470316e-310
9.72,9.551789007780926e+91
9.73,-4.8992717146768964e+125
9.74,4.9092277948770675e+252
9.75,2.884045175756e-312
9.76,1.754e-321
9.77,1.086461844974e-311
9.78,1.1018287613096319e-305
9.790000000000001,4.673806081101317e-307
9.8,5.34e-322
9.81,8.166434964861911e-302
9.82,0.0
9.83,1.315640143041e-311
9.84,7.798619922466915e-288
9.85,2.83641215e-316
9.86,4.67728275128606e-307
9.870000000000001,5.593e-321
9.88,1.5064413707406868e-282
9.89,0.0
9.9,3.4885638329897e-311
9.91,2.1951163610516328e-273
9.92,6.15203057e-316
9.93,4.679890259713998e-307
9.94,1.065e-320
9.950000000000001,2.7788938605559486e-263
9.96,0.0
9.97,5.6614875238235e-311
9.98,1.0235339749133126e-306
9.99,6.8851343542e-313
