t,MT1,MT1cat,MT1T2,MT1T2M2P,M2P,M2,M2T2,M2T2star,M2C1,C1,C1dmt1,C1dm2,T2
1.7,7.942983485866931e-08,3.757072584850911e-11,2.0397679866442987e-08,1.3489524804479392e-10,4.9865085450960825e-08,-1.9453584654754163e-11,1.2088449003761774e-10,-1.0141292506624648e-10,1.320773600326286e-15,9.998977545273492e-07,1.0224415197291195e-10,-9.583556138469972e-20,2.944793401954647e-08
1.71,7.935053449418841e-08,3.7747042077408903e-11,2.047537667508767e-08,1.3632219691738787e-10,4.9863658211353506e-08,-2.11495838635474e-11,1.314158001462218e-10,-1.1024805797702822e-10,1.4335307052214846e-15,9.998972158421478e-07,1.0278272442882801e-10,-1.0724604633701393e-19,2.9367113794096644e-08
1.72,7.927150815594672e-08,3.7923051111481264e-11,2.0552795047511077e-08,1.3775385996180134e-10,4.9862226254569286e-08,-2.291725252345897e-11,1.4239209158208835e-10,-1.1945650450598702e-10,1.5510354307564278e-15,9.998966776355249e-07,1.0332081355888243e-10,-1.19161150253169e-19,2.928649561998211e-08
1.73,7.919275584394423e-08,3.809875295072618e-11,2.0629934983713203e-08,1.3919023717803428e-10,4.9860789580608165e-08,-2.475659063448882e-11,1.5381336434521738e-10,-1.2903826465312163e-10,1.6732877769311059e-15,9.998961399074806e-07,1.0385841936307516e-10,-1.3158087313316417e-19,2.920607949720287e-08
1.74,7.911427755818094e-08,3.8274147595143665e-11,2.0706796483694048e-08,1.4063132856608671e-10,4.985934818947014e-08,-2.6667598196637058e-11,1.656796184356093e-10,-1.3899333841843412e-10,1.8002877437455316e-15,9.998956026580153e-07,1.0439554184140623e-10,-1.4450521497700057e-19,2.9125865425758916e-08
1.75,7.903607329865685e-08,3.8449235044733706e-11,2.0783379547453613e-08,1.4207713412595865e-10,4.985790208115521e-08,-2.865027520990363e-11,1.779908538532633e-10,-1.4932172580192326e-10,1.932035331199702e-15,9.998950658871287e-07,1.0493218099387561e-10,-1.5793417578467823e-19,2.9045853405650256e-08
1.76,7.895814306537197e-08,3.862401529949632e-11,2.08596841749919e-08,1.4352765385765005e-10,4.985645125566338e-08,-3.0704621674288484e-11,1.9074707059818017e-10,-1.6002342680358821e-10,2.068530539293604e-15,9.998945295948207e-07,1.0546833682048334e-10,-1.7186775555619635e-19,2.896604343687689e-08
1.77,7.88804868583263e-08,3.8798488359431487e-11,2.0935710366308907e-08,1.4498288776116092e-10,4.985499571299464e-08,-3.283063758979167e-11,2.0394826867035954e-10,-1.7109844142343105e-10,2.2097733680272504e-15,9.998939937810917e-07,1.0600400932122939e-10,-1.8630595429155534e-19,2.888643551943881e-08
1.78,7.880310467751982e-08,3.897265422453922e-11,2.1011458121404633e-08,1.4644283583649128e-10,4.9853535453149006e-08,-3.502832295641319e-11,2.1759444806980097e-10,-1.825467696614501e-10,2.355763817400638e-15,9.998934584459414e-07,1.0653919849611375e-10,-2.012487719907552e-19,2.8807029653336024e-08
1.79,7.872599652295255e-08,3.914651289481952e-11,2.108692744027908e-08,1.4790749808364114e-10,4.985207047612646e-08,-3.729767777415305e-11,2.316856087965053e-10,-1.9436841151764582e-10,2.5065018874137705e-15,9.998929235893696e-07,1.0707390434513646e-10,-2.166962086537963e-19,2.8727825838568525e-08
1.8,7.864916239462448e-08,3.9320064370272374e-11,2.1162118322932247e-08,1.493768745026105e-10,4.985060078192702e-08,-3.963870204301124e-11,2.462217508504721e-10,-2.06563366992019e-10,2.661987578066641e-15,9.998923892113768e-07,1.0760812686829748e-10,-2.3264826428067824e-19,2.864882407513632e-08
1.81,7.857260229253562e-08,3.9493308650897794e-11,2.1237030769364135e-08,1.5085096509339932e-10,4.9849126370550675e-08,-4.205139576298771e-11,2.6120287423170097e-10,-2.1913163608456798e-10,2.8222208893592463e-15,9.998918553119626e-07,1.0814186606559684e-10,-2.491049388714003e-19,2.8570024363039408e-08
1.82,7.849631621668597e-08,3.966624573669578e-11,2.1311664779574742e-08,1.5232976985600764e-10,4.9847647241997426e-08,-4.453575893408257e-11,2.7662897894019274e-10,-2.3207321879529444e-10,2.9872018212916025e-15,9.998913218911273e-07,1.0867512193703452e-10,-2.6606623242596397e-19,2.8491426702277786e-08
1.83,7.842030416707552e-08,3.983887562766632e-11,2.138602035356407e-08,1.5381328879043544e-10,4.984616339626727e-08,-4.709179155629576e-11,2.92500064975947e-10,-2.4538811512419713e-10,3.156930373863697e-15,9.998907889488704e-07,1.0920789448261053e-10,-2.835321449443681e-19,2.841303109285145e-08
1.84,7.834456614370428e-08,4.0011198323809434e-11,2.1460097491332118e-08,1.5530152189668272e-10,4.984467483336022e-08,-4.971949362962718e-11,3.088161323389637e-10,-2.590763250712769e-10,3.3314065470755294e-15,9.998902564851927e-07,1.0974018370232487e-10,-3.015026764266139e-19,2.8334837534760414e-08
1.85,7.826910214657223e-08,4.01832138251251e-11,2.1533896192878888e-08,1.567944691747495e-10,4.9843181553276256e-08,-5.241886515407704e-11,3.255771810292429e-10,-2.731378486365337e-10,3.5106303409271064e-15,9.998897245000935e-07,1.1027198959617753e-10,-3.1997782687270016e-19,2.8256846028004663e-08
1.86,7.819391217567939e-08,4.0354922131613334e-11,2.1607416458204375e-08,1.5829213062463575e-10,4.9841683556015394e-08,-5.5189906129645183e-11,3.427832110467846e-10,-2.875726858199671e-10,3.6946017554184215e-15,9.99889192993573e-07,1.1080331216416851e-10,-3.389575962826269e-19,2.8179056572584202e-08
1.87,7.811899623102576e-08,4.0526323243274127e-11,2.1680658287308587e-08,1.597945062463415e-10,4.984018084157763e-08,-5.803261655633166e-11,3.604342223915888e-10,-3.023808366215768e-10,3.883320790549484e-15,9.998886619656313e-07,1.1133415140629785e-10,-3.5844198465639488e-19,2.8101469168499035e-08
1.8800000000000001,7.804435431261133e-08,4.0697417160107484e-11,2.1753621680191517e-08,1.613015960398667e-10,4.9838673409962966e-08,-6.094699643413642e-11,3.7853021506365544e-10,-3.1756230104136393e-10,4.076787446320276e-15,9.998881314162684e-07,1.1186450732256548e-10,-3.7843099199400333e-19,2.802408381574916e-08
1.8900000000000001,7.79699864204361e-08,4.0868203882113406e-11,2.1826306636853168e-08,1.6281340000521145e-10,4.983716126117139e-08,-6.393304576305956e-11,3.9707118906298457e-10,-3.331170790793275e-10,4.275001722730818e-15,9.998876013454842e-07,1.1239437991297146e-10,-3.989246182954534e-19,2.7946900514334572e-08
1.9000000000000001,7.789589255450008e-08,4.103868340929189e-11,2.1898713157293536e-08,1.6432991814237565e-10,4.9835644395202924e-08,-6.699076454310099e-11,4.160571443895762e-10,-3.4904517073546814e-10,4.477963619781101e-15,9.998870717532788e-07,1.1292376917751576e-10,-4.19922863560744e-19,2.786991926425528e-08
1.9100000000000001,7.782207271480326e-08,4.120885574164293e-11,2.197084124151263e-08,1.6585115045135933e-10,4.983412281205755e-08,-7.012015277426075e-11,4.354880810434303e-10,-3.653465760097852e-10,4.685673137471123e-15,9.99886542639652e-07,1.1345267511619838e-10,-4.414257277898758e-19,2.7793140065511276e-08
1.92,7.774852690134564e-08,4.137872087916654e-11,2.2042690889510437e-08,1.6737709693216247e-10,4.983259651173527e-08,-7.332121045653879e-11,4.5536399902454685e-10,-3.820212949022787e-10,4.89813027580088e-15,9.99886014004604e-07,1.1398109772901933e-10,-4.634332109828477e-19,2.7716562918102564e-08
1.93,7.767525511412724e-08,4.154827882186271e-11,2.211426210128697e-08,1.689077575847851e-10,4.9831065494236084e-08,-7.659393758993522e-11,4.756848983329259e-10,-3.990693274129495e-10,5.115335034770387e-15,9.998854858481349e-07,1.1450903701597862e-10,-4.859453131396612e-19,2.764018782202914e-08
1.94,7.760225735314804e-08,4.171752956973144e-11,2.218555487684222e-08,1.7044313240922725e-10,4.982952975956e-08,-7.993833417444993e-11,4.964507789685674e-10,-4.164906735417969e-10,5.3372874143796264e-15,9.998849581702445e-07,1.1503649297707622e-10,-5.089620342603148e-19,2.7564014777291013e-08
1.95,7.752953361840804e-08,4.1886473122772735e-11,2.2256569216176192e-08,1.719832214054889e-10,4.982798930770701e-08,-8.335440021008302e-11,5.176616409314719e-10,-4.3428533328882114e-10,5.563987414628613e-15,9.998844309709327e-07,1.1556346561231217e-10,-5.324833743448101e-19,2.7488043783888174e-08
1.96,7.745708390990724e-08,4.205510948098659e-11,2.2327305119288884e-08,1.7352802457357e-10,4.982644413867712e-08,-8.684213569683435e-11,5.393174842216384e-10,-4.5245330665402204e-10,5.795435035517345e-15,9.998839042501998e-07,1.1608995492168642e-10,-5.565093333931454e-19,2.7412274841820626e-08
1.97,7.738490822764565e-08,4.222343864437301e-11,2.2397762586180297e-08,1.7507754191347062e-10,4.982489425247033e-08,-9.040154063470411e-11,5.614183088390678e-10,-4.709945936374e-10,6.031630277045811e-15,9.998833780080455e-07,1.16615960905199e-10,-5.810399114053224e-19,2.733670795108837e-08
1.98,7.731300657162326e-08,4.239146061293199e-11,2.246794161685043e-08,1.7663177342519068e-10,4.9823339649086636e-08,-9.403261502369216e-11,5.839641147837592e-10,-4.899091942389544e-10,6.272573139214022e-15,9.9988285224447e-07,1.1714148356284993e-10,-6.060751083813402e-19,2.72613431116914e-08
1.99,7.724137894184008e-08,4.255917538666354e-11,2.2537842211299283e-08,1.7819071910873024e-10,4.9821780328526034e-08,-9.773535886379849e-11,6.069549020557132e-10,-5.091971084586856e-10,6.518263622021968e-15,9.998823269594734e-07,1.1766652289463917e-10,-6.316149243211985e-19,2.7186180323629727e-08
2.0,7.71700253382961e-08,4.2726582965567647e-11,2.2607464369526856e-08,1.797543789640893e-10,4.9820216290788536e-08,-1.015097721550232e-10,6.3039067065493e-10,-5.288583362965939e-10,6.768701725469661e-15,9.998818021530553e-07,1.1819107890056675e-10,-6.576593592248981e-19,2.7111219586903343e-08
2.0100000000000002,7.709894576099132e-08,4.2893683349644314e-11,2.2676808091533153e-08,1.813227529912679e-10,4.981864753587413e-08,-1.0535585489736635e-10,6.542714205814097e-10,-5.488928777526791e-10,7.023887449557099e-15,9.99881277825216e-07,1.1871515158063266e-10,-6.842084130924385e-19,2.7036460901512246e-08
2.02,7.702814020992575e-08,4.3060476538893546e-11,2.2745873377318165e-08,1.828958411902659e-10,4.9817074063782824e-08,-1.0927360709082758e-10,6.785971518351511e-10,-5.693007328269402e-10,7.283820794284266e-15,9.998807539759557e-07,1.192387409348369e-10,-7.112620859238194e-19,2.6961904267456446e-08
2.0300000000000002,7.695760868509939e-08,4.322696253331535e-11,2.28146602268819e-08,1.8447364356108343e-10,4.981549587451461e-08,-1.132630287354074e-10,7.033678644161554e-10,-5.900819015193791e-10,7.548501759651186e-15,9.998802306052739e-07,1.1976184696317945e-10,-7.388203777190419e-19,2.6887549684735936e-08
2.04,7.688735118651222e-08,4.3393141332909696e-11,2.2883168640224355e-08,1.860561601037204e-10,4.98139129680695e-08,-1.173241198311053e-10,7.285835583244217e-10,-6.112363838299937e-10,7.817930345657835e-15,9.99879707713171e-07,1.2028446966566032e-10,-7.668832884781041e-19,2.6813397153350717e-08
2.05,7.681736771416426e-08,4.3559012937676615e-11,2.2951398617345527e-08,1.8764339081817685e-10,4.981232534444748e-08,-1.2145688037792152e-10,7.542442335599503e-10,-6.32764179758785e-10,8.092106552304226e-15,9.998791852996465e-07,1.2080660904227952e-10,-7.954508182010076e-19,2.6739446673300787e-08
2.06,7.674765826805551e-08,4.3724577347616104e-11,2.3019350158245426e-08,1.8923533570445285e-10,4.981073300364856e-08,-1.2566131037585624e-10,7.803498901227425e-10,-6.546652893057544e-10,8.37103037959037e-15,9.99878663364701e-07,1.2132826509303707e-10,-8.245229668877527e-19,2.666569824458615e-08
2.07,7.667822284818596e-08,4.388983456272814e-11,2.308702326292404e-08,1.9083199476254826e-10,4.980913594567274e-08,-1.2993740982490914e-10,8.06900528012796e-10,-6.769397124708992e-10,8.654701827516243e-15,9.998781419083344e-07,1.2184943781793292e-10,-8.540997345383375e-19,2.6592151867206803e-08
2.08,7.660906145455562e-08,4.4054784583012756e-11,2.3154417931381376e-08,1.9243336799246323e-10,4.9807534170520016e-08,-1.3428517872508058e-10,8.338961472301131e-10,-6.995874492542221e-10,8.943120896081867e-15,9.998776209305462e-07,1.223701272169671e-10,-8.841811211527647e-19,2.6518807541162748e-08
2.09,7.654017408716447e-08,4.421942740846992e-11,2.3221534163617432e-08,1.940394553941976e-10,4.9805927678190385e-08,-1.387046170763701e-10,8.613367477746917e-10,-7.226084996557204e-10,9.236287585287223e-15,9.99877100431337e-07,1.2289033329013963e-10,-9.147671267310312e-19,2.6445665266453983e-08
2.1,7.647156074601253e-08,4.438376303909965e-11,2.3288371959632212e-08,1.9565025696775157e-10,4.980431646868385e-08,-1.4319572487877814e-10,8.892223296465341e-10,-7.460028636753968e-10,9.53420189513233e-15,9.998765804107065e-07,1.2341005603745047e-10,-9.458577512731402e-19,2.6372725043080508e-08
2.11,7.64032214310998e-08,4.454779147490194e-11,2.3354931319425707e-08,1.9726577271312491e-10,4.980270054200042e-08,-1.4775850213230432e-10,9.175528928456374e-10,-7.697705413132487e-10,9.836863825617168e-15,9.998760608686547e-07,1.2392929545889963e-10,-9.774529947790888e-19,2.6299986871042327e-08
2.12,7.633515614242627e-08,4.4711512715876805e-11,2.3421212242997927e-08,1.9888600263031786e-10,4.980107989814008e-08,-1.5239294883694905e-10,9.463284373720049e-10,-7.939115325692786e-10,1.0144273376741757e-14,9.998755418051817e-07,1.2444805155448715e-10,-1.0095528572488794e-18,2.6227450750339433e-08
2.13,7.626736487999194e-08,4.487492676202422e-11,2.348721473034886e-08,2.0051094671933017e-10,4.9799454537102845e-08,-1.5709906499271184e-10,9.755489632256333e-10,-8.184258374434841e-10,1.0456430548506075e-14,9.998750232202873e-07,1.2496632432421298e-10,-1.0421573386825094e-18,2.6155116680971836e-08
2.14,7.619984764379682e-08,4.503803361334421e-11,2.3552938781478522e-08,2.0214060498016206e-10,4.97978244588887e-08,-1.6187685059959323e-10,1.005214470406526e-09,-8.433134559358674e-10,1.0773335340910147e-14,9.998745051139718e-07,1.2548411376807714e-10,-1.0752664390799818e-18,2.6082984662939525e-08
2.15,7.613260443384091e-08,4.520083326983675e-11,2.36183843963869e-08,2.0377497741281336e-10,4.979618966349766e-08,-1.6672630565759275e-10,1.0353249589146791e-09,-8.685743880464266e-10,1.109498775395395e-14,9.99873987486235e-07,1.260014198860796e-10,-1.1088801584412939e-18,2.6011054696242505e-08
2.16,7.60656352501242e-08,4.536332573150186e-11,2.3683551575074e-08,2.0541406401728423e-10,4.979455015092971e-08,-1.7164743016671076e-10,1.0658804287500967e-09,-8.942086337751637e-10,1.1421387787637505e-14,9.99873470337077e-07,1.2651824267822043e-10,-1.1429984967664481e-18,2.593932678088078e-08
2.17,7.599894009264669e-08,4.552551099833952e-11,2.3748440317539817e-08,2.070578647935745e-10,4.979290592118485e-08,-1.766402241269469e-10,1.096880879912775e-09,-9.202161931220761e-10,1.1752535441960785e-14,9.998729536664976e-07,1.2703458214449956e-10,-1.1776214540554415e-18,2.5867800916854342e-08
2.18,7.593251896140838e-08,4.568738907034976e-11,2.3813050623784357e-08,2.0870637974168432e-10,4.97912569742631e-08,-1.8170468753830156e-10,1.1283263124027174e-09,-9.465970660871667e-10,1.2088430716923822e-14,9.99872437474497e-07,1.2755043828491703e-10,-1.2127490303082776e-18,2.5796477104163196e-08
2.19,7.586637185640928e-08,4.584895994753255e-11,2.3877382493807614e-08,2.1035960886161357e-10,4.978960331016445e-08,-1.868408204007743e-10,1.1602167262199207e-09,-9.733512526704326e-10,1.2429073612526584e-14,9.998719217610752e-07,1.280658110994728e-10,-1.2483812255249529e-18,2.5725355342807344e-08
2.2,7.580049877764939e-08,4.6010223629887914e-11,2.3941435927609596e-08,2.1201755215336238e-10,4.9787944928888885e-08,-1.9204862271436568e-10,1.192552121364388e-09,-1.0004787528718766e-09,1.2774464128769107e-14,9.998714065262321e-07,1.2858070058816693e-10,-1.2845180397054706e-18,2.565443563278678e-08
2.21,7.57348997251287e-08,4.617118011741583e-11,2.4005210925190295e-08,2.1368020961693057e-10,4.978628183043642e-08,-1.973280944790751e-10,1.2253324978361165e-09,-1.0279795666914963e-09,1.3124602265651352e-14,9.99870891769968e-07,1.2909510675099938e-10,-1.3211594728498278e-18,2.5583717974101507e-08
2.22,7.566957469884721e-08,4.6331829410116315e-11,2.406870748654972e-08,2.1534758125231837e-10,4.978461401480706e-08,-2.0267923569490313e-10,1.2585578556351092e-09,-1.0558536941292938e-09,1.3479488023173354e-14,9.998703774922824e-07,1.2960902958797017e-10,-1.3583055249580273e-18,2.5513202366751525e-08
2.23,7.560452369880493e-08,4.649217150798935e-11,2.4131925611687857e-08,2.1701966705952556e-10,4.9782941482000784e-08,-2.0810204636184917e-10,1.2922281947613622e-09,-1.084101135185267e-09,1.383912140133508e-14,9.998698636931756e-07,1.3012246909907924e-10,-1.395956196030066e-18,2.5442888810736837e-08
2.24,7.553974672500184e-08,4.6652206411034967e-11,2.419486530060472e-08,2.186964670385523e-10,4.9781264232017616e-08,-2.1359652647991382e-10,1.3263435152148796e-09,-1.1127218898594182e-09,1.4203502400136565e-14,9.998693503726474e-07,1.3063542528432668e-10,-1.4341114860659476e-18,2.5372777306057435e-08
2.25,7.547524377743797e-08,4.681193411925313e-11,2.42575265533003e-08,2.2037798118939844e-10,4.977958226485754e-08,-2.1916267604909655e-10,1.3609038169956583e-09,-1.141715958151745e-09,1.4572631019577774e-14,9.99868837530698e-07,1.3114789814371244e-10,-1.4727713950656681e-18,2.5302867852713328e-08
2.2600000000000002,7.54110148561133e-08,4.697135463264386e-11,2.4319909369774602e-08,2.2206420951206417e-10,4.977789558052056e-08,-2.248004950693979e-10,1.3959091001037006e-09,-1.1710833400622497e-09,1.4946507259658742e-14,9.998683251673275e-07,1.3165988767723653e-10,-1.5119359230292316e-18,2.523316045070451e-08
2.27,7.534705996102784e-08,4.713046795120716e-11,2.4382013750027624e-08,2.2375515200654928e-10,4.977620417900668e-08,-2.3050998354081723e-10,1.4313593645390038e-09,-1.2008240355909298e-09,1.532513112037943e-14,9.998678132825356e-07,1.3217139388489891e-10,-1.5516050699566336e-18,2.5163655100030987e-08
2.2800000000000002,7.528337909218157e-08,4.7289274074943016e-11,2.4443839694059368e-08,2.2545080867285397e-10,4.9774508060315895e-08,-2.362911414633552e-10,1.4672546103015714e-09,-1.2309380447377878e-09,1.570850260173988e-14,9.998673018763225e-07,1.3268241676669967e-10,-1.5917788358478786e-18,2.509435180069275e-08
2.29,7.521997224957451e-08,4.744777300385143e-11,2.450538720186983e-08,2.2715117951097808e-10,4.977280722444821e-08,-2.421439688370112e-10,1.5035948373913995e-09,-1.2614253675028217e-09,1.6096621703740054e-14,9.99866790948688e-07,1.3319295632263873e-10,-1.6324572207029625e-18,2.5025250552689806e-08
2.3000000000000003,7.515683943320666e-08,4.760596473793242e-11,2.4566656273459012e-08,2.2885626452092173e-10,4.977110167140362e-08,-2.4806846566178584e-10,1.5403800458084922e-09,-1.2922860038860336e-09,1.6489488426379987e-14,9.998662804996326e-07,1.3370301255271613e-10,-1.6736402245218894e-18,2.4956351356022153e-08
2.31,7.509398064307802e-08,4.776384927718596e-11,2.4627646908826916e-08,2.305660637026848e-10,4.976939140118213e-08,-2.5406463193767854e-10,1.5776102355528455e-09,-1.3235199538874209e-09,1.6887102769659642e-14,9.998657705291555e-07,1.3421258545693184e-10,-1.7153278473046553e-18,2.488765421068979e-08
2.32,7.503139587918858e-08,4.792142662161206e-11,2.4688359107973537e-08,2.3228057705626737e-10,4.9767676413783736e-08,-2.601324676646895e-10,1.6152854066244614e-09,-1.3551272175069848e-09,1.7289464733579038e-14,9.998652610372574e-07,1.3472167503528586e-10,-1.757520089051262e-18,2.481915911669272e-08
2.33,7.496908514153832e-08,4.8078696771210736e-11,2.4748792870898883e-08,2.3399980458166946e-10,4.9765956709208434e-08,-2.662719728428191e-10,1.653405559023341e-09,-1.3871077947447267e-09,1.769657431813819e-14,9.998647520239382e-07,1.3523028128777826e-10,-1.800216949761711e-18,2.4750866074030942e-08
2.34,7.49070484301273e-08,4.823565972598196e-11,2.4808948197602947e-08,2.35723746278891e-10,4.976423228745624e-08,-2.724831474720667e-10,1.691970692749482e-09,-1.4194616856006443e-09,1.8108431523337067e-14,9.998642434891975e-07,1.3573840421440893e-10,-1.8434184294359995e-18,2.4682775082704454e-08
2.35,7.484528574495547e-08,4.839231548592576e-11,2.4868825088085732e-08,2.3745240214793207e-10,4.976250314852713e-08,-2.78765991552433e-10,1.730980807802887e-09,-1.45218889007474e-09,1.8525036349175707e-14,9.998637354330356e-07,1.3624604381517798e-10,-1.8871245280741307e-18,2.4614886142713255e-08
2.36,7.478379708602283e-08,4.854866405104211e-11,2.4928423542347234e-08,2.391857721887926e-10,4.9760769292421125e-08,-2.851205050839173e-10,1.7704359041835527e-09,-1.4852894081670112e-09,1.8946388795654065e-14,9.998632278554525e-07,1.3675320009008532e-10,-1.931335245676101e-18,2.454719925405735e-08
2.37,7.47225824533294e-08,4.8704705421331036e-11,2.498774356038746e-08,2.409238564014726e-10,4.975903071913822e-08,-2.915466880665202e-10,1.8103359818914827e-09,-1.5187632398774602e-09,1.9372488862772184e-14,9.99862720756448e-07,1.3725987303913102e-10,-1.9760505822419138e-18,2.4479714416736732e-08
2.38,7.466164184687519e-08,4.886043959679251e-11,2.5046785142206406e-08,2.426666547859721e-10,4.97572874286784e-08,-2.9804454050024114e-10,1.8506810409266734e-09,-1.5526103852060846e-09,1.9803336550530028e-14,9.998622141360224e-07,1.37766062662315e-10,-2.0212705377715657e-18,2.441243163075141e-08
2.39,7.460097526666017e-08,4.901586657742656e-11,2.5105548287804075e-08,2.4441416734229113e-10,4.975553942104169e-08,-3.0461406238508073e-10,1.8914710812891285e-09,-1.5868308441528876e-09,2.023893185892763e-14,9.998617079941755e-07,1.3827176895963737e-10,-2.0669951122650603e-18,2.4345350896101374e-08
2.4,7.454058271268436e-08,4.9170986363233163e-11,2.516403299718046e-08,2.461663940704296e-10,4.975378669622807e-08,-3.112552537210383e-10,1.932706102978844e-09,-1.6214246167178657e-09,2.0679274787964953e-14,9.998612023309074e-07,1.38776991931098e-10,-2.113224305722394e-18,2.4278472212786633e-08
2.41,7.448046418494776e-08,4.932579895421234e-11,2.5222239270335567e-08,2.479233349703876e-10,4.975202925423755e-08,-3.1796811450811453e-10,1.9743861059958243e-09,-1.6563917029010221e-09,2.1124365337642037e-14,9.99860697146218e-07,1.3928173157669702e-10,-2.1599581181435707e-18,2.421179558080718e-08
2.42,7.442061968345035e-08,4.9480304350364066e-11,2.5280167107269393e-08,2.4968499004216497e-10,4.9750267095070126e-08,-3.2475264474630876e-10,2.016511090340065e-09,-1.6917321027023537e-09,2.157420350795884e-14,9.998601924401073e-07,1.3978598789643433e-10,-2.207196549528586e-18,2.4145321000163023e-08
2.43,7.436104920819215e-08,4.9634502551688363e-11,2.533781650798194e-08,2.5145135928576196e-10,4.9748500218725795e-08,-3.3160884443562163e-10,2.05908105601157e-09,-1.7274458161218636e-09,2.2028789298915407e-14,9.998596882125752e-07,1.4028976089030998e-10,-2.2549395998774444e-18,2.407904847085415e-08
2.44,7.430175275917316e-08,4.978839355818521e-11,2.5395187472473208e-08,2.5322244270117834e-10,4.974672862520457e-08,-3.385367135760525e-10,2.1020960030103356e-09,-1.7635328431595487e-09,2.2488122710511696e-14,9.998591844636221e-07,1.4079305055832396e-10,-2.3031872691901415e-18,2.4012977992880573e-08
2.45,7.424273033639336e-08,4.994197736985464e-11,2.5452280000743197e-08,2.5499824028841427e-10,4.9744952314506435e-08,-3.4553625216760205e-10,2.1455559313363657e-09,-1.7999931838154121e-09,2.2952203742747745e-14,9.998586811932477e-07,1.4129585690047626e-10,-2.3519395574666817e-18,2.3947109566242284e-08
2.46,7.418398193985278e-08,5.0095253986696616e-11,2.5509094092791904e-08,2.5677875204746964e-10,4.97431712866314e-08,-3.5260746021026956e-10,2.1894608409896563e-09,-1.8368268380894507e-09,2.3421032395623513e-14,9.99858178401452e-07,1.417981799167669e-10,-2.4011964647070604e-18,2.388144319093929e-08
2.47,7.41255075695514e-08,5.0248223408711165e-11,2.5565629748619335e-08,2.5856397797834456e-10,4.974138554157946e-08,-3.5975033770405577e-10,2.2338107319702114e-09,-1.8740338059816676e-09,2.3894608669139042e-14,9.998576760882352e-07,1.4230001960719584e-10,-2.4509579909112824e-18,2.3815978866971583e-08
2.48,7.406730722548922e-08,5.0400885635898265e-11,2.562188696822548e-08,2.6035391808103887e-10,4.9739595079350616e-08,-3.6696488464895994e-10,2.2786056042780273e-09,-1.91161408749206e-09,2.4372932563294293e-14,9.998571742535968e-07,1.428013759717631e-10,-2.501224136079343e-18,2.375071659433917e-08
2.49,7.400938090766625e-08,5.0553240668257935e-11,2.567786575161035e-08,2.6214857235555273e-10,4.9737799899944876e-08,-3.742511010449828e-10,2.3238454579131073e-09,-1.9495676826206305e-09,2.4856004078089307e-14,9.998566728975374e-07,1.4330224901046873e-10,-2.5519949002112465e-18,2.3685656373042046e-08
2.5,7.395172861608248e-08,5.0705288505790164e-11,2.573356609877394e-08,2.6394794080188603e-10,4.973600000336223e-08,-3.8160898689212366e-10,2.3695302928754478e-09,-1.987894591367376e-09,2.534382321352404e-14,9.998561720200567e-07,1.4380263872331268e-10,-2.6032702833069887e-18,2.3620798203080218e-08
2.5100000000000002,7.389435035073792e-08,5.085702914849496e-11,2.5788988009716252e-08,2.657520234200389e-10,4.973419538960268e-08,-3.8903854219038315e-10,2.4156601091650528e-09,-2.0265948137323004e-09,2.5836389969598538e-14,9.998556716211549e-07,1.4430254511029494e-10,-2.6550502853665744e-18,2.3556142084453673e-08
2.52,7.383724611163256e-08,5.1008462596372313e-11,2.584413148443728e-08,2.6756082021001117e-10,4.973238605866622e-08,-3.965397669397606e-10,2.4622349067819186e-09,-2.0656683497153997e-09,2.633370434631275e-14,9.998551717008315e-07,1.4480196817141553e-10,-2.7073349063899983e-18,2.3491688017162425e-08
2.5300000000000002,7.37804158987664e-08,5.1159588849422235e-11,2.5898996522937033e-08,2.69374331171803e-10,4.9730572010552866e-08,-4.0411266114025676e-10,2.5092546857260486e-09,-2.1051151993166772e-09,2.6835766343666727e-14,9.998546722590871e-07,1.4530090790667445e-10,-2.7601241463772654e-18,2.3427436001206465e-08
2.54,7.372385971213945e-08,5.1310407907644714e-11,2.5953583125215502e-08,2.7119255630541423e-10,4.9728753245262604e-08,-4.117572247918709e-10,2.5567194459974393e-09,-2.14493536253613e-09,2.7342575961660426e-14,9.998541732959214e-07,1.4579936431607168e-10,-2.8134180053283714e-18,2.3363386036585798e-08
2.5500000000000003,7.366756470032449e-08,5.146093313696283e-11,2.6007904355882696e-08,2.7301526892844653e-10,4.972692998934417e-08,-4.1961145877678186e-10,2.605485960196143e-09,-2.1858476200723986e-09,2.7863248675969646e-14,9.998536747810476e-07,1.4629735857192954e-10,-2.8682525681173265e-18,2.329938729333773e-08
2.56,7.361129106815447e-08,5.161141393253754e-11,2.6062203987889997e-08,2.7483823936719967e-10,4.972510646997702e-08,-4.302503257110533e-10,2.67154077406576e-09,-2.2412637226253912e-09,2.856787042171506e-14,9.998531761493443e-07,1.4679528572924701e-10,-2.943960173606952e-18,2.3232625430646658e-08
2.57,7.355494829885261e-08,5.1761944434907147e-11,2.6116574039529897e-08,2.766598710238994e-10,4.972328428281744e-08,-4.4464581063972407e-10,2.7609184153651263e-09,-2.3162462761633553e-09,2.952064445539341e-14,9.998526771874917e-07,1.4729329491156812e-10,-3.047838304154101e-18,2.316203810408577e-08
